posx	posy	smh	smd	smv	pupil_size
-14.776782	-4.765123	-2.0	0.0	-2.0	2.135
-14.765789000000002	-4.762208	-2.0	0.0	-1.5	2.136
-14.771285999999998	-4.768038	-2.0	0.0	-1.0	2.136
-14.817994	-4.747634	-2.0	0.0	-0.5	2.131
-14.828981	-4.7592929999999996	-2.0	0.0	0.0	2.13
-14.828981	-4.765123	-2.0	0.0	0.5	2.13
-14.815247	-4.7592929999999996	-2.0	0.0	1.0	2.13
-14.809753	-4.7505489999999995	-2.0	0.0	1.5	2.13
-14.809753	-4.738887999999999	-2.0	0.0	2.0	2.129
-14.8125	-4.735973	-1.5	0.0	-2.0	2.133
-14.8125	-4.730143	-1.5	0.0	-1.5	2.138
-14.8125	-4.730143	-1.5	0.0	-1.0	2.144
-14.8125	-4.721397	-1.5	0.0	-0.5	2.146
-14.817994	-4.715567	-1.5	0.0	0.0	2.145
-14.826235	-4.735973	-1.5	0.0	0.5	2.145
-14.828981	-4.765123	-1.5	0.0	1.0	2.145
-14.826235	-4.794269999999999	-1.5	0.0	1.5	2.144
-14.820741	-4.8000989999999994	-1.5	0.0	2.0	2.147
-14.8125	-4.805927	-1.0	0.0	-2.0	2.15
-14.804257999999999	-4.805927	-1.0	0.0	-1.5	2.153
-14.793269	-4.8000989999999994	-1.0	0.0	-1.0	2.153
-14.776782	-4.794269999999999	-1.0	0.0	-0.5	2.153
-14.763041000000001	-4.768038	-1.0	0.0	0.0	2.153
-14.765789000000002	-4.744719	-1.0	0.0	0.5	2.152
-14.77953	-4.721397	-1.0	0.0	1.0	2.152
-14.793269	-4.718482	-1.0	0.0	1.5	2.153
-14.793269	-4.718482	-1.0	0.0	2.0	2.154
-14.790521	-4.721397	-0.5	0.0	-2.0	2.155
-14.790521	-4.727227999999999	-0.5	0.0	-1.5	2.154
-14.793269	-4.730143	-0.5	0.0	-1.0	2.155
-14.790521	-4.738887999999999	-0.5	0.0	-0.5	2.156
-14.787773000000001	-4.747634	-0.5	0.0	0.0	2.158
-14.785026	-4.762208	-0.5	0.0	0.5	2.158
-14.785026	-4.768038	-0.5	0.0	1.0	2.158
-14.787773000000001	-4.773867	-0.5	0.0	1.5	2.159
-14.790521	-4.773867	-0.5	0.0	2.0	2.159
-14.801510999999998	-4.773867	0.0	0.0	-2.0	2.158
-14.8125	-4.776782	0.0	0.0	-1.5	2.156
-14.820741	-4.785526	0.0	0.0	-1.0	2.156
-14.826235	-4.791355	0.0	0.0	-0.5	2.156
-14.837221	-4.7709529999999996	0.0	0.0	0.0	2.157
-14.842714	-4.744719	0.0	0.0	0.5	2.157
-14.850952	-4.730143	0.0	0.0	1.0	2.157
-14.853698000000001	-4.738887999999999	0.0	0.0	1.5	2.158
-14.848206	-4.7592929999999996	0.0	0.0	2.0	2.16
-14.834473999999998	-4.7709529999999996	0.5	0.0	-2.0	2.161
-14.820741	-4.773867	0.5	0.0	-1.5	2.162
-14.804257999999999	-4.765123	0.5	0.0	-1.0	2.161
-14.793269	-4.762208	0.5	0.0	-0.5	2.161
-14.787773000000001	-4.768038	0.5	0.0	0.0	2.162
-14.787773000000001	-4.7709529999999996	0.5	0.0	0.5	2.163
-14.793269	-4.768038	0.5	0.0	1.0	2.163
-14.801510999999998	-4.768038	0.5	0.0	1.5	2.163
-14.807006	-4.773867	0.5	0.0	2.0	2.163
-14.809753	-4.782611	1.0	0.0	-2.0	2.163
-14.807006	-4.788441000000001	1.0	0.0	-1.5	2.163
-14.804257999999999	-4.782611	1.0	0.0	-1.0	2.163
-14.804257999999999	-4.773867	1.0	0.0	-0.5	2.163
-14.796016	-4.768038	1.0	0.0	0.0	2.164
-14.787773000000001	-4.773867	1.0	0.0	0.5	2.164
-14.77953	-4.788441000000001	1.0	0.0	1.0	2.163
-14.771285999999998	-4.794269999999999	1.0	0.0	1.5	2.162
-14.765789000000002	-4.8000989999999994	1.0	0.0	2.0	2.162
-14.763041000000001	-4.791355	1.5	0.0	-2.0	2.162
-14.768538000000001	-4.782611	1.5	0.0	-1.5	2.163
-14.771285999999998	-4.805927	1.5	0.0	-1.0	2.164
-14.771285999999998	-4.835069999999999	1.5	0.0	-0.5	2.168
-14.765789000000002	-4.861294999999999	1.5	0.0	0.0	2.171
-14.760292999999999	-4.858381	1.5	0.0	0.5	2.172
-14.754795999999999	-4.843812	1.5	0.0	1.0	2.17
-14.768538000000001	-4.829241000000001	1.5	0.0	1.5	2.17
-14.782278	-4.817584999999999	1.5	0.0	2.0	2.171
-14.793269	-4.805927	2.0	0.0	-2.0	2.172
-14.790521	-4.794269999999999	2.0	0.0	-1.5	2.172
-14.790521	-4.779697	2.0	0.0	-1.0	2.173
-14.782278	-4.779697	2.0	0.0	-0.5	2.173
-14.774034	-4.776782	2.0	0.0	0.0	2.172
-14.768538000000001	-4.785526	2.0	0.0	0.5	2.173
-14.774034	-4.8000989999999994	2.0	0.0	1.0	2.176
-14.776782	-4.808841999999999	2.0	0.0	1.5	2.179
-14.785026	-4.81467	2.0	0.0	2.0	2.181
9.813865	6.35233	-2.0	0.0	-2.0	2.288
9.813865	6.361099	-2.0	0.0	-1.5	2.287
9.816719	6.364022	-2.0	0.0	-1.0	2.286
9.819573	6.366945	-2.0	0.0	-0.5	2.286
9.819573	6.366945	-2.0	0.0	0.0	2.284
9.825280000000001	6.364022	-2.0	0.0	0.5	2.281
9.830987	6.361099	-2.0	0.0	1.0	2.278
9.836694	6.358176	-2.0	0.0	1.5	2.279
9.833841	6.355253	-2.0	0.0	2.0	2.281
9.830987	6.358176	-1.5	0.0	-2.0	2.282
9.828134	6.361099	-1.5	0.0	-1.5	2.28
9.822427000000001	6.364022	-1.5	0.0	-1.0	2.279
9.816719	6.369867	-1.5	0.0	-0.5	2.278
9.813865	6.375713	-1.5	0.0	0.0	2.278
9.813865	6.378635	-1.5	0.0	0.5	2.278
9.816719	6.387403	-1.5	0.0	1.0	2.277
9.819573	6.390326	-1.5	0.0	1.5	2.277
9.822427000000001	6.384480000000001	-1.5	0.0	2.0	2.276
9.819573	6.375713	-1.0	0.0	-2.0	2.276
9.819573	6.366945	-1.0	0.0	-1.5	2.276
9.816719	6.381558	-1.0	0.0	-1.0	2.276
9.816719	6.396171	-1.0	0.0	-0.5	2.276
