Timestamp	GazePointXLeft	GazePointYLeft	DistanceLeft	PupilLeftX	PupilLeftY	PupilArea	CRLeftX	CRLeftY	CRArea	ValidityLeft	GazePointXRight	GazePointYRight	DistanceRight	PupilRightX	PupilRightY	PupilArea	CRRightX	CRRightY	CRArea	ValidityRight
0	-0.374422141920058	1.1690046653315	500	311.268656716418	199.241102181401	871	298.5	203.777777777778	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
8	-0.436142733185321	1.06400385201994	500	311.242142025611	199.28055878929	859	298.5	203.777777777778	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
17	-0.445692727519913	0.836963747483844	500	311.241019698725	199.361529548088	863	298.5	203.777777777778	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
25	-0.38542918265236	0.878736072171442	500	311.267753201397	199.344586728754	859	298.5	203.777777777778	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
33	-0.49895661014067	0.796094281124122	500	311.217441860465	199.377906976744	860	298.5	203.777777777778	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
42	-0.290353889347855	1.45874146301792	500	311.223776223776	199.462703962704	858	298.421052631579	204.105263157895	19	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
50	-0.317975355514771	1.20785033292342	500	311.293706293706	199.447552447552	858	298.5	204	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
58	-0.400345432121584	1.05678608131058	500	311.258479532164	199.504093567251	855	298.5	204	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
67	-0.267721331167329	1.12481513910343	500	311.317647058824	199.475294117647	850	298.5	204	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
75	-0.424833946130859	1.14200847021037	500	311.24617196702	199.474676089517	849	298.5	204	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
83	-0.421209178486475	0.815337875351921	500	311.331374853114	199.485311398355	851	298.578947368421	203.894736842105	19	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
92	-0.385987584891085	1.12919609966526	500	311.263971462545	199.25564803805	841	298.5	203.777777777778	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
100	-0.525025918125114	0.737867019312594	500	311.206443914081	199.121718377088	838	298.5	203.5	16	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
