	posx	posy	smh	smd	smv	pupil_size	sr_0	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8	sr_9	sr_10	sr_11	sr_12	sr_13	sr_14
0	-13.402648999999998	-5.065182	-2.0	0.0	-2.0	5.202999999999999	0.15208120949360943	0.2458056707798132	0.2701444363599063	0.20575096765991127	0.16322558544703253	0.21581891148546709	0.29726442928208097	0.2952254177059526	0.18934922908611215	0.1781047037068156	0.25502070837355595	0.3133975378007436	0.3327668007985435	0.28026215817735084	0.2237108311367029
1	-13.402648999999998	-5.06227	-2.0	0.0	-2.0	5.205	0.15223280213502513	0.24602951566890113	0.2701837385341297	0.2059332159365359	0.16355480899997096	0.2162478355431839	0.2976936988738239	0.2954213732255788	0.18960431978177744	0.17841347383083758	0.25484781434397924	0.3134238840250729	0.3328921502615075	0.2801970955980565	0.2236096292356807
2	-13.402648999999998	-5.059359	-2.0	0.0	-2.0	5.205	0.15196242434026772	0.24580362774117087	0.26991580564642315	0.20531550105997798	0.16292098896424317	0.21591239348397215	0.2974473071680217	0.29525544371187473	0.18903904026663154	0.1777037077220562	0.25521563572526507	0.31364928829144556	0.33292961843391894	0.28023481856617727	0.22356607316608337
3	-13.397087	-5.059359	-2.0	0.0	-2.0	5.202999999999999	0.1527300831235959	0.24618713335804485	0.27005521452542924	0.2057585548875577	0.16383882885131482	0.21647582463766282	0.29745635218189653	0.2951742955514204	0.18947787493488305	0.17869938564787954	0.2559896104098099	0.3136070619346424	0.3327402923760804	0.28010585839195656	0.22387182506369413
4	-13.394305	-5.059359	-2.0	0.0	-2.0	5.2010000000000005	0.15246977536353562	0.24587590250786712	0.2700894098499451	0.20579761743401964	0.16357270639315755	0.2164061876546487	0.29744476716261387	0.29523753112994344	0.18965292614920914	0.1788397144511018	0.2555525985436683	0.31339751458904996	0.33279840698107155	0.2802787876842886	0.2239814578827529
5	-13.388742	-5.059359	-2.0	0.0	-2.0	5.197	0.15195603332696275	0.24602466771571252	0.2702728617456268	0.20545159178282585	0.16296415135103032	0.21595568037936122	0.29745396086685316	0.2952389913226726	0.18941946816818656	0.17814435033698062	0.2552442064327362	0.31350465810571376	0.33282404580190666	0.2800490449198117	0.22332465740778662
6	-13.388742	-5.06227	-2.0	0.0	-2.0	5.196000000000001	0.15234121079313642	0.24604316612507213	0.2702911131457584	0.20575018816515264	0.16335992338376515	0.21633040822951466	0.29767170615398697	0.29541579842918175	0.1896008803571844	0.17815317656996685	0.25493841950523727	0.31349549506017266	0.33287736886765146	0.28018054586084196	0.22341668002788018
7	-13.38596	-5.065182	-2.0	0.0	-2.0	5.193	0.15221794285722037	0.24572414382623897	0.26994409601023683	0.20563058412199353	0.16320012187040592	0.21639868284241914	0.29757511168662143	0.29535669613618254	0.18975746976558205	0.1787596879236233	0.2553676629796648	0.3135125031994507	0.33279913028898583	0.2801385807075565	0.22365042549609793
8	-13.383179	-5.068094	-2.0	0.0	-2.0	5.193	0.15205399209232606	0.2457664586998094	0.2700277146197448	0.20545658347831547	0.16298641040007492	0.21655595947754555	0.2976504413275154	0.2952952351018174	0.18981939100159237	0.1787817033117981	0.2555232592766508	0.3135223222195867	0.332881691836991	0.28028751183680356	0.22394958933379103
9	-13.38596	-5.071005	-2.0	0.0	-2.0	5.194	0.1521613251712884	0.24594549047177375	0.2702967460107509	0.2060701534743512	0.16374128483972092	0.21612082604229352	0.2974697192393438	0.29539764698121984	0.18977459779404549	0.17850067449023888	0.2549980718392604	0.31335341749677964	0.3327722362311341	0.2800854586082709	0.22348305160216536
