posx	posy	smh	smd	smv	pupil_size
-12.290719000000001	6.194456	-2.0	0.0	-2.0	2.562
-12.285107	6.197381	-2.0	0.0	-1.5	2.562
-12.276688	6.197381	-2.0	0.0	-1.0	2.562
-12.276688	6.197381	-2.0	0.0	-0.5	2.561
-12.287913	6.197381	-2.0	0.0	0.0	2.561
-12.299137	6.197381	-2.0	0.0	0.5	2.561
-12.301943	6.194456	-2.0	0.0	1.0	2.561
-12.296331	6.1915320000000005	-2.0	0.0	1.5	2.562
-12.285107	6.188608	-2.0	0.0	2.0	2.562
-12.276688	6.185683	-1.5	0.0	-2.0	2.563
-12.273882	6.185683	-1.5	0.0	-1.5	2.563
-12.279494999999999	6.188608	-1.5	0.0	-1.0	2.56
-12.282301	6.182759	-1.5	0.0	-0.5	2.557
-12.276688	6.173986	-1.5	0.0	0.0	2.554
-12.273882	6.165212	-1.5	0.0	0.5	2.558
-12.268269	6.165212	-1.5	0.0	1.0	2.562
-12.265463	6.171061	-1.5	0.0	1.5	2.565
-12.265463	6.179834	-1.5	0.0	2.0	2.564
-12.271075999999999	6.185683	-1.0	0.0	-2.0	2.563
-12.268269	6.188608	-1.0	0.0	-1.5	2.563
-12.262656	6.1915320000000005	-1.0	0.0	-1.0	2.563
-12.259849	6.194456	-1.0	0.0	-0.5	2.56
-12.251429	6.197381	-1.0	0.0	0.0	2.558
-12.248622	6.194456	-1.0	0.0	0.5	2.556
-12.245814999999999	6.200305	-1.0	0.0	1.0	2.556
-12.248622	6.203229	-1.0	0.0	1.5	2.557
-12.251429	6.200305	-1.0	0.0	2.0	2.558
-12.248622	6.194456	-0.5	0.0	-2.0	2.559
-12.240200999999999	6.185683	-0.5	0.0	-1.5	2.559
-12.23178	6.185683	-0.5	0.0	-1.0	2.559
-12.226165	6.185683	-0.5	0.0	-0.5	2.559
-12.22055	6.182759	-0.5	0.0	0.0	2.558
-12.226165	6.182759	-0.5	0.0	0.5	2.555
-12.234587	6.182759	-0.5	0.0	1.0	2.553
-12.243008	6.179834	-0.5	0.0	1.5	2.552
-12.243008	6.173986	-0.5	0.0	2.0	2.551
-12.237394	6.171061	0.0	0.0	-2.0	2.551
-12.234587	6.165212	0.0	0.0	-1.5	2.552
-12.234587	6.165212	0.0	0.0	-1.0	2.552
-12.251429	6.165212	0.0	0.0	-0.5	2.552
-12.265463	6.168137000000001	0.0	0.0	0.0	2.551
-12.276688	6.165212	0.0	0.0	0.5	2.55
-12.268269	6.17691	0.0	0.0	1.0	2.549
-12.257043	6.188608	0.0	0.0	1.5	2.548
-12.248622	6.194456	0.0	0.0	2.0	2.548
-12.245814999999999	6.194456	0.5	0.0	-2.0	2.548
-12.248622	6.185683	0.5	0.0	-1.5	2.546
-12.251429	6.182759	0.5	0.0	-1.0	2.543
-12.257043	6.17691	0.5	0.0	-0.5	2.543
-12.259849	6.179834	0.5	0.0	0.0	2.545
-12.259849	6.179834	0.5	0.0	0.5	2.547
-12.257043	6.17691	0.5	0.0	1.0	2.546
-12.254236	6.168137000000001	0.5	0.0	1.5	2.543
-12.251429	6.162287	0.5	0.0	2.0	2.541
-12.251429	6.165212	1.0	0.0	-2.0	2.54
-12.245814999999999	6.17691	1.0	0.0	-1.5	2.541
-12.243008	6.194456	1.0	0.0	-1.0	2.543
-12.251429	6.203229	1.0	0.0	-0.5	2.542
-12.265463	6.212002	1.0	0.0	0.0	2.542
-12.279494999999999	6.212002	1.0	0.0	0.5	2.541
-12.276688	6.203229	1.0	0.0	1.0	2.54
-12.271075999999999	6.194456	1.0	0.0	1.5	2.54
-12.265463	6.185683	1.0	0.0	2.0	2.537
-12.259849	6.171061	1.5	0.0	-2.0	2.535
-12.262656	6.159363	1.5	0.0	-1.5	2.532
-12.268269	6.156438	1.5	0.0	-1.0	2.532
-12.273882	6.165212	1.5	0.0	-0.5	2.533
-12.276688	6.17691	1.5	0.0	0.0	2.535
-12.276688	6.179834	1.5	0.0	0.5	2.536
-12.279494999999999	6.179834	1.5	0.0	1.0	2.534
-12.282301	6.179834	1.5	0.0	1.5	2.534
-12.279494999999999	6.168137000000001	1.5	0.0	2.0	2.533
-12.276688	6.159363	2.0	0.0	-2.0	2.534
-12.273882	6.150589	2.0	0.0	-1.5	2.533
-12.271075999999999	6.153514	2.0	0.0	-1.0	2.531
-12.265463	6.150589	2.0	0.0	-0.5	2.528
-12.262656	6.150589	2.0	0.0	0.0	2.527
-12.262656	6.153514	2.0	0.0	0.5	2.527
-12.268269	6.159363	2.0	0.0	1.0	2.527
-12.273882	6.159363	2.0	0.0	1.5	2.526
-12.276688	6.150589	2.0	0.0	2.0	2.524
-2.408723	8.889237	-2.0	0.0	-2.0	2.831
-2.408723	8.889237	-2.0	0.0	-1.5	2.831
-2.411657	8.889237	-2.0	0.0	-1.0	2.832
-2.411657	8.880555	-2.0	0.0	-0.5	2.834
-2.408723	8.871872999999999	-2.0	0.0	0.0	2.835
-2.408723	8.860296	-2.0	0.0	0.5	2.834
-2.411657	8.857402	-2.0	0.0	1.0	2.832
-2.423393	8.851613	-2.0	0.0	1.5	2.83
-2.435129	8.854508	-2.0	0.0	2.0	2.83
-2.44393	8.860296	-1.5	0.0	-2.0	2.831
-2.4409970000000003	8.868979	-1.5	0.0	-1.5	2.829
-2.435129	8.868979	-1.5	0.0	-1.0	2.827
-2.426327	8.86319	-1.5	0.0	-0.5	2.825
-2.420459	8.854508	-1.5	0.0	0.0	2.826
-2.411657	8.837141	-1.5	0.0	0.5	2.825
-2.411657	8.831351	-1.5	0.0	1.0	2.826
-2.408723	8.834246	-1.5	0.0	1.5	2.826
-2.411657	8.845824	-1.5	0.0	2.0	2.826
-2.417525	8.854508	-1.0	0.0	-2.0	2.825
-2.423393	8.854508	-1.0	0.0	-1.5	2.825
-2.426327	8.857402	-1.0	0.0	-1.0	2.824
-2.423393	8.857402	-1.0	0.0	-0.5	2.823
-2.423393	8.860296	-1.0	0.0	0.0	2.822
-2.426327	8.860296	-1.0	0.0	0.5	2.822
-2.429261	8.857402	-1.0	0.0	1.0	2.822
-2.426327	8.866085	-1.0	0.0	1.5	2.822
-2.426327	8.874767	-1.0	0.0	2.0	2.822
-2.426327	8.871872999999999	-0.5	0.0	-2.0	2.822
-2.432195	8.860296	-0.5	0.0	-1.5	2.821
-2.4409970000000003	8.851613	-0.5	0.0	-1.0	2.821
-2.449798	8.854508	-0.5	0.0	-0.5	2.82
-2.449798	8.857402	-0.5	0.0	0.0	2.819
-2.446864	8.854508	-0.5	0.0	0.5	2.817
-2.44393	8.851613	-0.5	0.0	1.0	2.816
-2.438063	8.851613	-0.5	0.0	1.5	2.816
-2.438063	8.845824	-0.5	0.0	2.0	2.814
-2.435129	8.840035	0.0	0.0	-2.0	2.814
-2.432195	8.837141	0.0	0.0	-1.5	2.813
-2.4409970000000003	8.837141	0.0	0.0	-1.0	2.814
-2.449798	8.848719	0.0	0.0	-0.5	2.815
-2.458599	8.860296	0.0	0.0	0.0	2.815
-2.455666	8.871872999999999	0.0	0.0	0.5	2.815
-2.452732	8.868979	0.0	0.0	1.0	2.814
-2.455666	8.854508	0.0	0.0	1.5	2.814
-2.455666	8.840035	0.0	0.0	2.0	2.813
-2.461533	8.825562	0.5	0.0	-2.0	2.812
-2.470335	8.834246	0.5	0.0	-1.5	2.812
-2.479136	8.845824	0.5	0.0	-1.0	2.811
-2.485003	8.834246	0.5	0.0	-0.5	2.811
-2.487937	8.813983	0.5	0.0	0.0	2.811
-2.473268	8.796612	0.5	0.0	0.5	2.811
-2.449798	8.799508	0.5	0.0	1.0	2.81
-2.423393	8.802403	0.5	0.0	1.5	2.809
-2.376448	8.796612	0.5	0.0	2.0	2.809
-2.306025	8.787927	1.0	0.0	-2.0	2.811
-2.2326610000000002	8.770555	1.0	0.0	-1.5	2.811
-2.176898	8.756077	1.0	0.0	-1.0	2.809
-2.132873	8.741598	1.0	0.0	-0.5	2.806
-2.065362	8.730013999999999	1.0	0.0	0.0	2.805
-2.003717	8.718428999999999	1.0	0.0	0.5	2.806
-1.9508740000000002	8.709741	1.0	0.0	1.0	2.807
-1.8921560000000002	8.709741	1.0	0.0	1.5	2.808
-1.83637	8.709741	1.0	0.0	2.0	2.808
-1.795263	8.695259	1.5	0.0	-2.0	2.807
-1.7805810000000002	8.677878999999999	1.5	0.0	-1.5	2.807
-1.768836	8.631526	1.5	0.0	-1.0	2.807
-1.75709	8.599653	1.5	0.0	-0.5	2.807
-1.754154	8.570674	1.5	0.0	0.0	2.807
-1.754154	8.550386	1.5	0.0	0.5	2.808
-1.7512169999999998	8.532995	1.5	0.0	1.0	2.808
-1.7453439999999998	8.512703	1.5	0.0	1.5	2.809
-1.739471	8.512703	1.5	0.0	2.0	2.81
-1.736535	8.512703	2.0	0.0	-2.0	2.809
-1.736535	8.509803999999999	2.0	0.0	-1.5	2.809
-1.733598	8.512703	2.0	0.0	-1.0	2.807
-1.730662	8.518500999999999	2.0	0.0	-0.5	2.806
-1.7424080000000002	8.524298	2.0	0.0	0.0	2.805
-1.754154	8.527197	2.0	0.0	0.5	2.804
-1.7717720000000001	8.530096	2.0	0.0	1.0	2.804
-1.7776450000000001	8.532995	2.0	0.0	1.5	2.805
-1.786454	8.538791999999999	2.0	0.0	2.0	2.806
5.892802	2.664964	-2.0	0.0	-2.0	3.26
5.889894	2.65613	-2.0	0.0	-1.5	3.262
5.889894	2.653186	-2.0	0.0	-1.0	3.263
5.889894	2.66202	-2.0	0.0	-0.5	3.262
5.889894	2.673799	-2.0	0.0	0.0	3.262
5.892802	2.6855770000000003	-2.0	0.0	0.5	3.262
5.886986	2.688522	-2.0	0.0	1.0	3.263
5.878261	2.6855770000000003	-2.0	0.0	1.5	3.263
5.881169	2.673799	-2.0	0.0	2.0	3.263
5.892802	2.664964	-1.5	0.0	-2.0	3.262
5.904434999999999	2.6590749999999996	-1.5	0.0	-1.5	3.261
5.904434999999999	2.65613	-1.5	0.0	-1.0	3.26
5.907343	2.664964	-1.5	0.0	-0.5	3.258
5.913158999999999	2.676743	-1.5	0.0	0.0	3.257
5.918975	2.6855770000000003	-1.5	0.0	0.5	3.257
5.921883	2.6855770000000003	-1.5	0.0	1.0	3.257
5.921883	2.6796879999999996	-1.5	0.0	1.5	3.257
5.924791	2.676743	-1.5	0.0	2.0	3.256
5.927699	2.676743	-1.0	0.0	-2.0	3.255
5.924791	2.6796879999999996	-1.0	0.0	-1.5	3.254
5.916067	2.682633	-1.0	0.0	-1.0	3.255
5.907343	2.6855770000000003	-1.0	0.0	-0.5	3.256
5.904434999999999	2.688522	-1.0	0.0	0.0	3.256
5.898619	2.694411	-1.0	0.0	0.5	3.256
5.904434999999999	2.7003	-1.0	0.0	1.0	3.254
5.910251000000001	2.703245	-1.0	0.0	1.5	3.252
5.918975	2.703245	-1.0	0.0	2.0	3.25
5.924791	2.7003	-0.5	0.0	-2.0	3.249
5.924791	2.7003	-0.5	0.0	-1.5	3.248
5.921883	2.697356	-0.5	0.0	-1.0	3.246
5.921883	2.694411	-0.5	0.0	-0.5	3.244
5.921883	2.6914670000000003	-0.5	0.0	0.0	3.244
5.924791	2.7003	-0.5	0.0	0.5	3.244
5.921883	2.712079	-0.5	0.0	1.0	3.244
5.921883	2.717968	-0.5	0.0	1.5	3.243
5.924791	2.717968	-0.5	0.0	2.0	3.242
5.927699	2.717968	0.0	0.0	-2.0	3.241
5.927699	2.717968	0.0	0.0	-1.5	3.24
5.924791	2.717968	0.0	0.0	-1.0	3.24
5.921883	2.70619	0.0	0.0	-0.5	3.24
5.921883	2.697356	0.0	0.0	0.0	3.24
5.921883	2.6914670000000003	0.0	0.0	0.5	3.24
