posx	posy	smh	smd	smv	pupil_size
6.8536660000000005	-5.1292279999999995	-2.0	0.0	-2.0	2.103
6.8536660000000005	-5.13505	-2.0	0.0	-2.0	2.103
6.844974000000001	-5.140871	-2.0	0.0	-2.0	2.103
6.8478710000000005	-5.143782	-2.0	0.0	-2.0	2.102
6.856564	-5.140871	-2.0	0.0	-2.0	2.104
6.839179	-5.140871	-2.0	0.0	-2.0	2.105
6.815998	-5.146693	-2.0	0.0	-2.0	2.107
6.7812220000000005	-5.149603	-2.0	0.0	-2.0	2.108
6.772527	-5.149603	-2.0	0.0	-2.0	2.108
6.778322999999999	-5.152514	-2.0	0.0	-2.0	2.108
6.795712	-5.155424	-2.0	0.0	-2.0	2.106
6.815998	-5.158335	-2.0	0.0	-2.0	2.104
6.8131	-5.164155999999999	-2.0	0.0	-2.0	2.104
6.8131	-5.169976999999999	-2.0	0.0	-2.0	2.105
6.807303999999999	-5.175797	-2.0	0.0	-2.0	2.108
6.804406	-5.178708	-2.0	0.0	-2.0	2.109
6.798610000000001	-5.172887	-2.0	0.0	-2.0	2.11
6.792814	-5.167066	-2.0	0.0	-2.0	2.11
6.801508	-5.158335	-2.0	0.0	-2.0	2.11
6.8131	-5.158335	-2.0	0.0	-2.0	2.11
6.827589	-5.164155999999999	-2.0	0.0	-2.0	2.111
6.8304860000000005	-5.167066	-2.0	0.0	-2.0	2.112
6.833384	-5.167066	-2.0	0.0	-2.0	2.113
6.839179	-5.167066	-2.0	0.0	-2.0	2.113
6.839179	-5.169976999999999	-2.0	0.0	-2.0	2.113
6.8304860000000005	-5.172887	-2.0	0.0	-2.0	2.113
6.8188960000000005	-5.172887	-2.0	0.0	-2.0	2.113
6.807303999999999	-5.169976999999999	-2.0	0.0	-2.0	2.113
6.810202	-5.167066	-2.0	0.0	-2.0	2.113
6.815998	-5.161244999999999	-2.0	0.0	-2.0	2.113
6.8217929999999996	-5.155424	-2.0	0.0	-2.0	2.114
6.8246910000000005	-5.152514	-2.0	0.0	-2.0	2.118
6.8246910000000005	-5.155424	-2.0	0.0	-2.0	2.121
6.8217929999999996	-5.164155999999999	-2.0	0.0	-2.0	2.125
6.815998	-5.169976999999999	-2.0	0.0	-2.0	2.125
6.8131	-5.172887	-2.0	0.0	-2.0	2.126
6.807303999999999	-5.167066	-2.0	0.0	-2.0	2.126
6.801508	-5.164155999999999	-2.0	0.0	-2.0	2.126
6.795712	-5.161244999999999	-2.0	0.0	-2.0	2.126
6.787017999999999	-5.158335	-2.0	0.0	-2.0	2.128
6.78412	-5.152514	-2.0	0.0	-2.0	2.131
6.778322999999999	-5.143782	-2.0	0.0	-2.0	2.132
6.775425	-5.137961	-2.0	0.0	-2.0	2.133
6.772527	-5.140871	-2.0	0.0	-2.0	2.132
6.7812220000000005	-5.146693	-2.0	0.0	-2.0	2.131
