posx	posy	smh	smd	smv	pupil_size
10.877639	3.9811879999999995	-2.0	0.0	-2.0	3.576
10.877639	3.989985	-2.0	0.0	-2.0	3.576
10.883308	3.989985	-2.0	0.0	-2.0	3.576
10.888977	3.9811879999999995	-2.0	0.0	-2.0	3.577
10.900314	3.9694580000000004	-2.0	0.0	-2.0	3.576
10.903148	3.954795	-2.0	0.0	-2.0	3.575
10.89748	3.945997	-2.0	0.0	-2.0	3.574
10.888977	3.9371989999999997	-2.0	0.0	-2.0	3.574
10.883308	3.934266	-2.0	0.0	-2.0	3.574
10.883308	3.940132	-2.0	0.0	-2.0	3.574
10.886142999999999	3.9518629999999995	-2.0	0.0	-2.0	3.573
10.886142999999999	3.96066	-2.0	0.0	-2.0	3.573
10.888977	3.9635929999999995	-2.0	0.0	-2.0	3.573
10.891811	3.966526	-2.0	0.0	-2.0	3.573
10.894645	3.966526	-2.0	0.0	-2.0	3.574
10.89748	3.9753230000000004	-2.0	0.0	-2.0	3.576
10.891811	3.978255999999999	-2.0	0.0	-2.0	3.578
10.886142999999999	3.978255999999999	-2.0	0.0	-2.0	3.581
10.880474000000001	3.972391	-2.0	0.0	-2.0	3.583
10.883308	3.966526	-2.0	0.0	-2.0	3.581
10.883308	3.9635929999999995	-2.0	0.0	-2.0	3.578
10.880474000000001	3.96066	-2.0	0.0	-2.0	3.575
10.880474000000001	3.954795	-2.0	0.0	-2.0	3.576
10.877639	3.954795	-2.0	0.0	-2.0	3.576
10.877639	3.9577279999999995	-2.0	0.0	-2.0	3.576
10.877639	3.9577279999999995	-2.0	0.0	-2.0	3.576
10.883308	3.9635929999999995	-2.0	0.0	-2.0	3.576
10.891811	3.966526	-2.0	0.0	-2.0	3.576
10.900314	3.9694580000000004	-2.0	0.0	-2.0	3.576
10.900314	3.966526	-2.0	0.0	-2.0	3.575
10.903148	3.972391	-2.0	0.0	-2.0	3.575
10.903148	3.978255999999999	-2.0	0.0	-2.0	3.575
10.903148	3.9811879999999995	-2.0	0.0	-2.0	3.576
10.903148	3.978255999999999	-2.0	0.0	-2.0	3.577
10.903148	3.98412	-2.0	0.0	-2.0	3.576
10.903148	3.9929179999999995	-2.0	0.0	-2.0	3.575
10.903148	3.989985	-2.0	0.0	-2.0	3.573
10.903148	3.9753230000000004	-2.0	0.0	-2.0	3.57
10.903148	3.96066	-2.0	0.0	-2.0	3.569
10.903148	3.96066	-2.0	0.0	-2.0	3.57
