posx	posy	smh	smd	smv	pupil_size
12.450564	-6.1690830000000005	-2.0	0.0	-2.0	3.969
12.450564	-6.157433	-2.0	0.0	-1.5	3.967
12.433748	-6.148694	-2.0	0.0	-1.0	3.965
12.416929	-6.15452	-2.0	0.0	-0.5	3.966
12.416929	-6.166171	-2.0	0.0	0.0	3.967
12.433748	-6.1749089999999995	-2.0	0.0	0.5	3.97
12.439353	-6.1749089999999995	-2.0	0.0	1.0	3.973
12.430945	-6.171996	-2.0	0.0	1.5	3.972
12.428142	-6.1690830000000005	-2.0	0.0	2.0	3.969
12.433748	-6.151607	-1.5	0.0	-2.0	3.966
12.43655	-6.13413	-1.5	0.0	-1.5	3.966
12.43655	-6.128304	-1.5	0.0	-1.0	3.963
12.428142	-6.128304	-1.5	0.0	-0.5	3.961
12.419732000000002	-6.1312169999999995	-1.5	0.0	0.0	3.959
12.408519	-6.122477	-1.5	0.0	0.5	3.96
12.3945	-6.122477	-1.5	0.0	1.0	3.96
12.383285	-6.128304	-1.5	0.0	1.5	3.96
12.386089	-6.1253910000000005	-1.5	0.0	2.0	3.959
12.402911999999999	-6.122477	-1.0	0.0	-2.0	3.958
12.419732000000002	-6.113738	-1.0	0.0	-1.5	3.957
12.425338	-6.116651	-1.0	0.0	-1.0	3.957
12.430945	-6.119564	-1.0	0.0	-0.5	3.957
12.433748	-6.122477	-1.0	0.0	0.0	3.958
12.428142	-6.1253910000000005	-1.0	0.0	0.5	3.96
12.425338	-6.137043	-1.0	0.0	1.0	3.961
12.425338	-6.148694	-1.0	0.0	1.5	3.96
12.425338	-6.15452	-1.0	0.0	2.0	3.958
12.425338	-6.148694	-0.5	0.0	-2.0	3.955
12.428142	-6.142869	-0.5	0.0	-1.5	3.956
12.430945	-6.137043	-0.5	0.0	-1.0	3.957
12.430945	-6.1312169999999995	-0.5	0.0	-0.5	3.958
12.428142	-6.1253910000000005	-0.5	0.0	0.0	3.957
12.425338	-6.1253910000000005	-0.5	0.0	0.5	3.957
12.416929	-6.128304	-0.5	0.0	1.0	3.955
12.408519	-6.137043	-0.5	0.0	1.5	3.952
12.402911999999999	-6.1457809999999995	-0.5	0.0	2.0	3.948
12.402911999999999	-6.151607	0.0	0.0	-2.0	3.948
12.402911999999999	-6.148694	0.0	0.0	-1.5	3.95
12.402911999999999	-6.1457809999999995	0.0	0.0	-1.0	3.952
12.414125	-6.142869	0.0	0.0	-0.5	3.955
12.430945	-6.1457809999999995	0.0	0.0	0.0	3.955
12.444958999999999	-6.142869	0.0	0.0	0.5	3.955
12.447761999999999	-6.142869	0.0	0.0	1.0	3.954
12.456169000000001	-6.148694	0.0	0.0	1.5	3.951
12.464576	-6.157433	0.0	0.0	2.0	3.948
12.461774	-6.163258	0.5	0.0	-2.0	3.946
12.447761999999999	-6.1690830000000005	0.5	0.0	-1.5	3.946
12.433748	-6.1690830000000005	0.5	0.0	-1.0	3.946
12.425338	-6.1690830000000005	0.5	0.0	-0.5	3.948
12.422535	-6.1690830000000005	0.5	0.0	0.0	3.95
12.411322	-6.15452	0.5	0.0	0.5	3.95
12.408519	-6.13413	0.5	0.0	1.0	3.949
12.405714999999999	-6.110825	0.5	0.0	1.5	3.947
12.411322	-6.102085	0.5	0.0	2.0	3.946
12.405714999999999	-6.102085	1.0	0.0	-2.0	3.945
12.397304	-6.104998	1.0	0.0	-1.5	3.945
12.391697	-6.107911	1.0	0.0	-1.0	3.944
12.391697	-6.110825	1.0	0.0	-0.5	3.943
12.402911999999999	-6.107911	1.0	0.0	0.0	3.944
12.411322	-6.102085	1.0	0.0	0.5	3.945
12.411322	-6.093344999999999	1.0	0.0	1.0	3.943
12.408519	-6.087518	1.0	0.0	1.5	3.94
12.405714999999999	-6.084604	1.0	0.0	2.0	3.937
12.402911999999999	-6.087518	1.5	0.0	-2.0	3.936
12.402911999999999	-6.087518	1.5	0.0	-1.5	3.934
12.402911999999999	-6.090431	1.5	0.0	-1.0	3.933
12.411322	-6.093344999999999	1.5	0.0	-0.5	3.932
12.419732000000002	-6.096258	1.5	0.0	0.0	3.929
12.430945	-6.093344999999999	1.5	0.0	0.5	3.926
12.43655	-6.090431	1.5	0.0	1.0	3.923
12.444958999999999	-6.096258	1.5	0.0	1.5	3.923
12.456169000000001	-6.102085	1.5	0.0	2.0	3.923
12.470181	-6.107911	2.0	0.0	-2.0	3.923
12.484191000000001	-6.113738	2.0	0.0	-1.5	3.921
12.489794	-6.116651	2.0	0.0	-1.0	3.92
12.489794	-6.113738	2.0	0.0	-0.5	3.919
12.498199000000001	-6.104998	2.0	0.0	0.0	3.92
12.506604	-6.102085	2.0	0.0	0.5	3.92
12.489794	-6.107911	2.0	0.0	1.0	3.917
12.461774	-6.102085	2.0	0.0	1.5	3.914
12.433748	-6.093344999999999	2.0	0.0	2.0	3.911
-7.195303999999999	-4.793948	-2.0	0.0	-2.0	4.053
