subj,arch,appr,ArchAppr,rep,acc
5,1,2,2,4,0.677859359
5,1,2,2,5,0.723877282
5,1,2,2,6,0.691402736
5,1,2,2,7,0.701643505
5,1,2,2,8,0.700413722
5,1,2,2,9,0.682425908
5,1,2,2,10,0.701912005
5,2,1,3,1,0.474836792
5,2,1,3,2,0.4949892
5,2,1,3,3,0.473460821
5,2,1,3,4,0.464803535
5,2,1,3,5,0.473274327
5,2,1,3,6,0.47559685
5,2,1,3,7,0.462285536
5,2,1,3,8,0.500138529
5,2,1,3,9,0.46508522
5,2,1,3,10,0.485332589
5,2,2,4,1,0.508765083
5,2,2,4,2,0.444702912
5,2,2,4,3,0.478145882
5,2,2,4,4,0.487427876
5,2,2,4,5,0.475097242
5,2,2,4,6,0.444777214
5,2,2,4,7,0.458379196
5,2,2,4,8,0.448759423
5,2,2,4,9,0.464049894
5,2,2,4,10,0.457954235
6,1,1,1,1,1.294052959
6,1,1,1,2,1.336158266
6,1,1,1,3,1.436054202
6,1,1,1,4,1.369622818
6,1,1,1,5,1.326803841
6,1,1,1,6,1.270260956
6,1,1,1,7,1.326450268
6,1,1,1,8,1.268886024
6,1,1,1,9,1.373880181
6,1,1,1,10,1.318053656
6,1,2,2,1,1.536028194
6,1,2,2,2,1.544986178
6,1,2,2,3,1.571166113
6,1,2,2,4,1.617500189
6,1,2,2,5,1.643175672
6,1,2,2,6,1.584047061
6,1,2,2,7,1.567600491
6,1,2,2,8,1.546280023
6,1,2,2,9,1.549945882
6,1,2,2,10,1.591933877
6,2,1,3,1,0.625170428
6,2,1,3,2,0.633760605
6,2,1,3,3,0.628222863
6,2,1,3,4,0.628976467
6,2,1,3,5,0.622883902
6,2,1,3,6,0.633632468
6,2,1,3,7,0.605129549
6,2,1,3,8,0.599350934
6,2,1,3,9,0.617579076
6,2,1,3,10,0.618763787
6,2,2,4,1,0.576231805
6,2,2,4,2,0.600702869
6,2,2,4,3,0.587005216
6,2,2,4,4,0.593987982
6,2,2,4,5,0.595995043
6,2,2,4,6,0.60003207
6,2,2,4,7,0.588129323
6,2,2,4,8,0.606166806
6,2,2,4,9,0.595175838
6,2,2,4,10,0.635286968
7,1,1,1,1,0.576167567
7,1,1,1,2,0.576145416
7,1,1,1,3,0.59823209
7,1,1,1,4,0.568438318
7,1,1,1,5,0.583053751
7,1,1,1,6,0.578660478
7,1,1,1,7,0.592989177
7,1,1,1,8,0.576123981
7,1,1,1,9,0.561551609
7,1,1,1,10,0.586824772
7,1,2,2,1,0.594731502
7,1,2,2,2,0.576870201
7,1,2,2,3,0.615026242
7,1,2,2,4,0.601228453
7,1,2,2,5,0.579788444
7,1,2,2,6,0.573458347
7,1,2,2,7,0.565093319
7,1,2,2,8,0.605764636
7,1,2,2,9,0.597430886
7,1,2,2,10,0.580741847
7,2,1,3,1,0.491294878
7,2,1,3,2,0.500138188
7,2,1,3,3,0.486628234
7,2,1,3,4,0.486381484
7,2,1,3,5,0.484100636
7,2,1,3,6,0.486085399
7,2,1,3,7,0.493219628
7,2,1,3,8,0.510321883
7,2,1,3,9,0.490759496
7,2,1,3,10,0.485581838
7,2,2,4,1,0.470640169
7,2,2,4,2,0.473961751
7,2,2,4,3,0.478763047
7,2,2,4,4,0.484929466
7,2,2,4,5,0.467088293
7,2,2,4,6,0.473366709
7,2,2,4,7,0.470050849
7,2,2,4,8,0.470678433
7,2,2,4,9,0.470331864
7,2,2,4,10,0.477716478
8,1,1,1,1,0.58658794
8,1,1,1,2,0.562410639
8,1,1,1,3,0.567924103
8,1,1,1,4,0.582866439
8,1,1,1,5,0.613586564
8,1,1,1,6,0.583925622
8,1,1,1,7,0.581407673
8,1,1,1,8,0.573687695
8,1,1,1,9,0.5706148
8,1,1,1,10,0.587044996
8,1,2,2,1,0.590914362
8,1,2,2,2,0.598710055
8,1,2,2,3,0.590599035
8,1,2,2,4,0.592659035
8,1,2,2,5,0.601131044
8,1,2,2,6,0.589756583
8,1,2,2,7,0.58647472
8,1,2,2,8,0.584400392
8,1,2,2,9,0.594346806
8,1,2,2,10,0.588496752
8,2,1,3,1,0.483035138
8,2,1,3,2,0.494205848
8,2,1,3,3,0.497016719
8,2,1,3,4,0.475415144
8,2,1,3,5,0.484126517
8,2,1,3,6,0.498745332
8,2,1,3,7,0.49769124
8,2,1,3,8,0.480942787
8,2,1,3,9,0.496177349
8,2,1,3,10,0.483548748
8,2,2,4,1,0.467051128
8,2,2,4,2,0.462364269
8,2,2,4,3,0.464215396
8,2,2,4,4,0.456583873
8,2,2,4,5,0.463643686
8,2,2,4,6,0.470712113
8,2,2,4,7,0.475365287
8,2,2,4,8,0.456271918
8,2,2,4,9,0.466802749
8,2,2,4,10,0.469230007
10,1,1,1,1,0.830872852
10,1,1,1,2,0.842395452
10,1,1,1,3,0.849460648
10,1,1,1,4,0.810754426
10,1,1,1,5,0.846225048
10,1,1,1,6,0.81859928
10,1,1,1,7,0.845405218
10,1,1,1,8,0.81880203
10,1,1,1,9,0.836762022
10,1,1,1,10,0.816370468
10,1,2,2,1,0.934413781
10,1,2,2,2,0.925614065
10,1,2,2,3,0.91857471
10,1,2,2,4,0.933603589
10,1,2,2,5,0.895263603
10,1,2,2,6,0.946618913
10,1,2,2,7,0.919753777
10,1,2,2,8,0.92097732
10,1,2,2,9,0.912090779
10,1,2,2,10,0.930873759
10,2,1,3,1,0.752213332
10,2,1,3,2,0.732670595
10,2,1,3,3,0.731239067
10,2,1,3,4,0.73089445
10,2,1,3,5,0.734358843
10,2,1,3,6,0.775406931
10,2,1,3,7,0.763303824
10,2,1,3,8,0.747190633
10,2,1,3,9,0.729449423
10,2,1,3,10,0.727283667
10,2,2,4,1,0.702472362
10,2,2,4,2,0.746301651
10,2,2,4,3,0.706955582
10,2,2,4,4,0.688577288
10,2,2,4,5,0.715637492
10,2,2,4,6,0.73110974
10,2,2,4,7,0.706388004
10,2,2,4,8,0.714755587
10,2,2,4,9,0.72686745
10,2,2,4,10,0.724524363
11,1,1,1,1,0.801959663
11,1,1,1,2,0.79602596
11,1,1,1,3,0.794740873
11,1,1,1,4,0.776470916
11,1,1,1,5,0.813293585
11,1,1,1,6,0.79293089
11,1,1,1,7,0.756747205
11,1,1,1,8,0.788804916
11,1,1,1,9,0.832235184
11,1,1,1,10,0.866318807
11,1,2,2,1,0.932168398
11,1,2,2,2,0.863974853
11,1,2,2,3,0.927072859
11,1,2,2,4,0.859882596
11,1,2,2,5,0.897827548
11,1,2,2,6,0.864902505
11,1,2,2,7,0.880045146
11,1,2,2,8,0.904827997
11,1,2,2,9,0.902767257
11,1,2,2,10,0.862732787
11,2,1,3,1,0.625741373
11,2,1,3,2,0.593795718
11,2,1,3,3,0.603513632
11,2,1,3,4,0.735850643
11,2,1,3,5,0.61479178
11,2,1,3,6,0.601517499
11,2,1,3,7,0.593714455
11,2,1,3,8,0.609491014
11,2,1,3,9,0.697360662
11,2,1,3,10,0.621871427
11,2,2,4,1,0.584078825
11,2,2,4,2,0.571521013
11,2,2,4,3,0.657389722
11,2,2,4,4,0.598315761
11,2,2,4,5,0.58194872
11,2,2,4,6,0.584687268
11,2,2,4,7,0.57964481
11,2,2,4,8,0.58723718
11,2,2,4,9,0.568988008
11,2,2,4,10,0.622108172
12,1,1,1,1,0.602720719
12,1,1,1,2,0.580253216
12,1,1,1,3,0.617492718
12,1,1,1,4,0.5877972
12,1,1,1,5,0.584308589
12,1,1,1,6,0.600541435
12,1,1,1,7,0.596970697
12,1,1,1,8,0.590343633
12,1,1,1,9,0.606479054
12,1,1,1,10,0.59651625
