subj,arch,appr,ArchAppr,rep,acc
19,1,1,1,4,0.999497238
19,1,1,1,5,0.854731121
19,1,1,1,6,0.82277016
19,1,1,1,7,0.792757833
19,1,1,1,8,0.816824871
19,1,1,1,9,0.830333668
19,1,1,1,10,0.970157719
20,1,1,1,1,1.065613602
20,1,1,1,2,1.074966163
20,1,1,1,3,1.080717249
20,1,1,1,4,1.103771069
20,1,1,1,5,1.123892312
20,1,1,1,6,1.155858894
20,1,1,1,7,1.094308364
20,1,1,1,8,1.152803826
20,1,1,1,9,1.110799114
20,1,1,1,10,1.125437017
21,1,1,1,1,0.658151794
21,1,1,1,2,0.662174524
21,1,1,1,3,0.669121982
21,1,1,1,4,0.665263012
21,1,1,1,5,0.670492604
21,1,1,1,6,0.656126969
21,1,1,1,7,0.645979329
21,1,1,1,8,0.63153978
21,1,1,1,9,0.662036687
21,1,1,1,10,0.665429199
22,1,1,1,1,0.756846895
22,1,1,1,2,0.730142296
22,1,1,1,3,0.69765751
22,1,1,1,4,0.793554588
22,1,1,1,5,0.724889659
22,1,1,1,6,0.705349863
22,1,1,1,7,0.722092596
22,1,1,1,8,0.734327039
22,1,1,1,9,0.738055669
22,1,1,1,10,0.71561528
23,1,1,1,1,0.70620722
23,1,1,1,2,0.716083827
23,1,1,1,3,0.688680669
23,1,1,1,4,0.699076694
23,1,1,1,5,0.725257269
23,1,1,1,6,0.763280332
23,1,1,1,7,0.707699082
23,1,1,1,8,0.694913982
23,1,1,1,9,0.70986669
23,1,1,1,10,0.721357159
1,1,2,2,1,1.32937789
1,1,2,2,2,1.243787143
1,1,2,2,3,1.304911613
1,1,2,2,4,1.290909669
1,1,2,2,5,1.282053761
1,1,2,2,6,1.214451918
1,1,2,2,7,1.332691115
1,1,2,2,8,1.336882136
1,1,2,2,9,1.217196556
1,1,2,2,10,1.262350292
2,1,2,2,1,0.671143704
2,1,2,2,2,0.66172595
2,1,2,2,3,0.628323657
2,1,2,2,4,0.681830466
2,1,2,2,5,0.65368502
2,1,2,2,6,0.646213115
2,1,2,2,7,0.649487242
2,1,2,2,8,0.657519649
2,1,2,2,9,0.704111575
2,1,2,2,10,0.642065833
3,1,2,2,1,1.495263961
3,1,2,2,2,1.368556508
3,1,2,2,3,1.336671804
3,1,2,2,4,1.358668964
3,1,2,2,5,1.359718549
3,1,2,2,6,1.410839569
3,1,2,2,7,1.394761216
3,1,2,2,8,1.289773246
3,1,2,2,9,1.41262147
3,1,2,2,10,1.547369941
4,1,2,2,1,1.282180483
4,1,2,2,2,1.282479448
4,1,2,2,3,1.267204578
4,1,2,2,4,1.30489813
4,1,2,2,5,1.299302989
4,1,2,2,6,1.275187176
4,1,2,2,7,1.270701196
4,1,2,2,8,1.185179349
4,1,2,2,9,1.250314391
4,1,2,2,10,1.262739229
5,1,2,2,1,0.978345147
5,1,2,2,2,0.957774699
5,1,2,2,3,0.962174515
5,1,2,2,4,0.963503449
5,1,2,2,5,0.965255509
5,1,2,2,6,0.912246812
5,1,2,2,7,0.977047095
5,1,2,2,8,0.96657287
5,1,2,2,9,1.013074864
5,1,2,2,10,0.937817581
6,1,2,2,1,1.845911103
6,1,2,2,2,1.835508179
6,1,2,2,3,1.880174686
6,1,2,2,4,1.959241902
6,1,2,2,5,1.909246482
6,1,2,2,6,1.834324421
6,1,2,2,7,1.851492392
6,1,2,2,8,1.888061345
6,1,2,2,9,1.864384456
6,1,2,2,10,1.846096727
7,1,2,2,1,0.766120706
7,1,2,2,2,0.700545542
7,1,2,2,3,0.802858773
7,1,2,2,4,0.762927595
7,1,2,2,5,0.790687806
7,1,2,2,6,0.787315922
7,1,2,2,7,0.722849388
7,1,2,2,8,0.789580003
7,1,2,2,9,0.801077099
7,1,2,2,10,0.708516155
8,1,2,2,1,0.699262022
8,1,2,2,2,0.684439006
8,1,2,2,3,0.765983299
8,1,2,2,4,0.71791731
8,1,2,2,5,0.722233544
8,1,2,2,6,0.734493227
8,1,2,2,7,0.708192909
8,1,2,2,8,0.735211278
8,1,2,2,9,0.746090109
8,1,2,2,10,0.715250291
10,1,2,2,1,1.094870066
10,1,2,2,2,1.120553233
10,1,2,2,3,1.087127343
10,1,2,2,4,1.126801942
10,1,2,2,5,1.080039734
10,1,2,2,6,1.17750594
10,1,2,2,7,1.246659983
10,1,2,2,8,1.091338874
10,1,2,2,9,1.191477777
10,1,2,2,10,1.108459065
11,1,2,2,1,1.026933815
11,1,2,2,2,0.975603327
11,1,2,2,3,0.939447399
11,1,2,2,4,0.906292613
11,1,2,2,5,0.956848376
11,1,2,2,6,0.981284864
11,1,2,2,7,1.05937447
11,1,2,2,8,0.92842448
11,1,2,2,9,0.912894653
11,1,2,2,10,0.932613154
12,1,2,2,1,0.743357267
12,1,2,2,2,0.755592412
12,1,2,2,3,0.778099615
12,1,2,2,4,0.723938787
12,1,2,2,5,0.755980101
12,1,2,2,6,0.744223349
12,1,2,2,7,0.775021591
12,1,2,2,8,0.763115719
12,1,2,2,9,0.767070589
12,1,2,2,10,0.733770449
13,1,2,2,1,0.78021511
13,1,2,2,2,0.782859447
13,1,2,2,3,0.80086565
13,1,2,2,4,0.776547772
13,1,2,2,5,0.788243393
13,1,2,2,6,0.837493124
13,1,2,2,7,0.771963607
13,1,2,2,8,0.80009851
13,1,2,2,9,0.782670603
13,1,2,2,10,0.793868125
14,1,2,2,1,1.162614814
14,1,2,2,2,1.145801681
14,1,2,2,3,1.17734885
14,1,2,2,4,1.196650852
14,1,2,2,5,1.2182132
14,1,2,2,6,1.160872033
14,1,2,2,7,1.147679651
14,1,2,2,8,1.189724475
14,1,2,2,9,1.208322279
14,1,2,2,10,1.219538989
15,1,2,2,1,0.834030518
15,1,2,2,2,0.903900267
15,1,2,2,3,0.888370047
15,1,2,2,4,0.895607701
15,1,2,2,5,0.933747874
15,1,2,2,6,0.875881349
15,1,2,2,7,0.914881988
15,1,2,2,8,0.866367602
15,1,2,2,9,0.906423114
15,1,2,2,10,0.896085505
16,1,2,2,1,1.095520507
16,1,2,2,2,1.119591629
16,1,2,2,3,1.061620853
16,1,2,2,4,1.068053178
16,1,2,2,5,1.070826468
16,1,2,2,6,1.074878097
16,1,2,2,7,1.12920098
16,1,2,2,8,1.139972513
16,1,2,2,9,1.095988294
16,1,2,2,10,1.099185733
17,1,2,2,1,0.920626131
17,1,2,2,2,0.875666758
17,1,2,2,3,0.887031247
17,1,2,2,4,0.895228255
17,1,2,2,5,0.837681804
17,1,2,2,6,0.879078572
17,1,2,2,7,0.909473358
17,1,2,2,8,0.885215583
17,1,2,2,9,0.89048765
17,1,2,2,10,0.900267144
18,1,2,2,1,0.605045198
18,1,2,2,2,0.663238653
18,1,2,2,3,0.660845854
18,1,2,2,4,0.655040671
18,1,2,2,5,0.662178693
18,1,2,2,6,0.703031614
18,1,2,2,7,0.646147321
18,1,2,2,8,0.63417383
18,1,2,2,9,0.686631184
18,1,2,2,10,0.64682098
19,1,2,2,1,0.899725684
19,1,2,2,2,0.912985929
19,1,2,2,3,0.943954085
19,1,2,2,4,0.889762532
19,1,2,2,5,0.895511432
19,1,2,2,6,0.955203971
19,1,2,2,7,0.883387023
19,1,2,2,8,0.872023973
19,1,2,2,9,0.947843855
19,1,2,2,10,0.929618257
20,1,2,2,1,1.254659477
20,1,2,2,2,1.260640538
20,1,2,2,3,1.226659391
20,1,2,2,4,1.222685158
20,1,2,2,5,1.288963417
20,1,2,2,6,1.266845969
20,1,2,2,7,1.218718868
20,1,2,2,8,1.231013261
20,1,2,2,9,1.220570467
20,1,2,2,10,1.188497428
21,1,2,2,1,0.997641534
21,1,2,2,2,1.069961124
21,1,2,2,3,1.00669532
21,1,2,2,4,1.067915634
21,1,2,2,5,1.070494143
21,1,2,2,6,1.080408434
21,1,2,2,7,1.101858531
21,1,2,2,8,1.062166369
21,1,2,2,9,1.025060146
21,1,2,2,10,1.012565308
22,1,2,2,1,1.00175717
22,1,2,2,2,0.931996165
22,1,2,2,3,0.956582446
22,1,2,2,4,0.979776124
22,1,2,2,5,0.995525718
22,1,2,2,6,0.967166836
22,1,2,2,7,1.00531593
22,1,2,2,8,0.995071906
22,1,2,2,9,1.025501762
22,1,2,2,10,0.970985344
23,1,2,2,1,0.929069866
23,1,2,2,2,0.97999724
23,1,2,2,3,0.916204591
23,1,2,2,4,0.924449746
23,1,2,2,5,0.939679637
23,1,2,2,6,0.886250539
23,1,2,2,7,0.98240125
23,1,2,2,8,0.931734164
23,1,2,2,9,0.861455679
23,1,2,2,10,1.001321765
1,2,1,3,1,0.629844101
1,2,1,3,2,0.598798895
1,2,1,3,3,0.607525706
1,2,1,3,4,0.631655869
1,2,1,3,5,0.616132986
1,2,1,3,6,0.602748045
1,2,1,3,7,0.595495386
1,2,1,3,8,0.638022675
1,2,1,3,9,0.592059034
1,2,1,3,10,0.598881427
2,2,1,3,1,0.47213935
2,2,1,3,2,0.456423092
2,2,1,3,3,0.463489286
2,2,1,3,4,0.529028093
2,2,1,3,5,0.463350744
2,2,1,3,6,0.46242616
2,2,1,3,7,0.473746267
2,2,1,3,8,0.452584403
2,2,1,3,9,0.470604878
2,2,1,3,10,0.448819582
3,2,1,3,1,0.988435727
3,2,1,3,2,0.991818512
3,2,1,3,3,0.998163243
3,2,1,3,4,0.98912912
3,2,1,3,5,1.014642521
3,2,1,3,6,1.004343474
3,2,1,3,7,0.972184096
3,2,1,3,8,0.995292835
3,2,1,3,9,0.976201694
3,2,1,3,10,1.00158124
4,2,1,3,1,0.805441085
4,2,1,3,2,0.82661776
4,2,1,3,3,0.829858173
4,2,1,3,4,0.851467055
4,2,1,3,5,0.838584049
4,2,1,3,6,0.818740091
4,2,1,3,7,0.851774746
4,2,1,3,8,0.842931842
4,2,1,3,9,0.838097498
4,2,1,3,10,0.837313464
5,2,1,3,1,0.530843373
5,2,1,3,2,0.614503029
5,2,1,3,3,0.554928327
5,2,1,3,4,0.562087268
5,2,1,3,5,0.541396823
5,2,1,3,6,0.553217955
5,2,1,3,7,0.548906159
5,2,1,3,8,0.559051986
5,2,1,3,9,0.550964345
5,2,1,3,10,0.551218585
6,2,1,3,1,0.765020788
6,2,1,3,2,0.826279252
6,2,1,3,3,0.778395492
6,2,1,3,4,0.784293116
6,2,1,3,5,0.826586824
6,2,1,3,6,0.810126359
6,2,1,3,7,0.774091315
6,2,1,3,8,0.817818248
6,2,1,3,9,0.798871125
6,2,1,3,10,0.775556505
7,2,1,3,1,0.581848388
7,2,1,3,2,0.580001341
7,2,1,3,3,0.579993219
7,2,1,3,4,0.568962298
7,2,1,3,5,0.565353602
7,2,1,3,6,0.585904292
7,2,1,3,7,0.557497716
7,2,1,3,8,0.56436744
7,2,1,3,9,0.584733056
7,2,1,3,10,0.57108254
8,2,1,3,1,0.560453946
8,2,1,3,2,0.575725868
8,2,1,3,3,0.55394595
8,2,1,3,4,0.55910805
8,2,1,3,5,0.563964333
8,2,1,3,6,0.557320863
8,2,1,3,7,0.564829437
8,2,1,3,8,0.546286213
8,2,1,3,9,0.564455878
8,2,1,3,10,0.564497447
10,2,1,3,1,0.825878495
10,2,1,3,2,0.815008891
10,2,1,3,3,0.821517261
10,2,1,3,4,0.851365349
10,2,1,3,5,0.851685705
10,2,1,3,6,0.816051066
10,2,1,3,7,0.859200622
10,2,1,3,8,0.825011431
10,2,1,3,9,0.809854988
10,2,1,3,10,0.809799067
11,2,1,3,1,0.791691516
11,2,1,3,2,0.812441567
11,2,1,3,3,0.785281565
11,2,1,3,4,0.774960394
11,2,1,3,5,0.835731645
11,2,1,3,6,0.730108246
11,2,1,3,7,0.85649521
11,2,1,3,8,0.892815739
11,2,1,3,9,0.728991981
11,2,1,3,10,0.792684005
12,2,1,3,1,0.552349281
12,2,1,3,2,0.595685236
12,2,1,3,3,0.558214938
12,2,1,3,4,0.580375328
12,2,1,3,5,0.555754081
12,2,1,3,6,0.564019792
12,2,1,3,7,0.57125682
12,2,1,3,8,0.553545678
12,2,1,3,9,0.552036747
12,2,1,3,10,0.567551142
13,2,1,3,1,0.753110311
13,2,1,3,2,0.704274489
13,2,1,3,3,0.712509146
13,2,1,3,4,0.744368826
13,2,1,3,5,0.692661916
13,2,1,3,6,0.708641834
13,2,1,3,7,0.684221985
13,2,1,3,8,0.725544075
13,2,1,3,9,0.713027718
13,2,1,3,10,0.740616307
14,2,1,3,1,0.8322448
14,2,1,3,2,0.828973585
14,2,1,3,3,0.836139722
14,2,1,3,4,0.841263778
14,2,1,3,5,0.865794816
14,2,1,3,6,0.81956742
14,2,1,3,7,0.81951168
14,2,1,3,8,0.851028921
14,2,1,3,9,0.849012961
14,2,1,3,10,0.863833209
15,2,1,3,1,0.638618946
15,2,1,3,2,0.661894805
15,2,1,3,3,0.716618265
15,2,1,3,4,0.64645163
15,2,1,3,5,0.63425494
15,2,1,3,6,0.656201673
15,2,1,3,7,0.649897999
15,2,1,3,8,0.638584587
15,2,1,3,9,0.658473486
15,2,1,3,10,0.642537602
16,2,1,3,1,0.764406628
16,2,1,3,2,0.740942974
16,2,1,3,3,0.772636913
16,2,1,3,4,0.781784342
16,2,1,3,5,0.777945083
16,2,1,3,6,0.777627111
16,2,1,3,7,0.793774825
16,2,1,3,8,0.784819866
16,2,1,3,9,0.756571055
16,2,1,3,10,0.764513731
17,2,1,3,1,0.688630621
17,2,1,3,2,0.704076906
17,2,1,3,3,0.732657209
17,2,1,3,4,0.754004636
17,2,1,3,5,0.686736654
17,2,1,3,6,0.745255914
17,2,1,3,7,0.72559995
17,2,1,3,8,0.700050918
17,2,1,3,9,0.714488476
17,2,1,3,10,0.701645927
18,2,1,3,1,0.489479097
18,2,1,3,2,0.521611407
18,2,1,3,3,0.522581696
18,2,1,3,4,0.500571736
18,2,1,3,5,0.495925231
18,2,1,3,6,0.553287082
18,2,1,3,7,0.51576151
18,2,1,3,8,0.526427324
18,2,1,3,9,0.517744139
18,2,1,3,10,0.536534691
19,2,1,3,1,0.681161241
19,2,1,3,2,0.780334481
19,2,1,3,3,0.7602481
19,2,1,3,4,0.749834925
19,2,1,3,5,0.739912507
19,2,1,3,6,0.854901654
19,2,1,3,7,0.753182456
19,2,1,3,8,0.802587193
19,2,1,3,9,0.758546518
19,2,1,3,10,0.855534612
20,2,1,3,1,1.032733159
20,2,1,3,2,0.978313203
20,2,1,3,3,1.015248201
20,2,1,3,4,1.036647687
20,2,1,3,5,1.016520092
20,2,1,3,6,1.058728257
20,2,1,3,7,1.067161001
20,2,1,3,8,0.981206557
20,2,1,3,9,1.019060374
20,2,1,3,10,0.972841747
21,2,1,3,1,0.628301118
21,2,1,3,2,0.647860222
21,2,1,3,3,0.622439471
21,2,1,3,4,0.641538218
21,2,1,3,5,0.645920474
21,2,1,3,6,0.676366812
21,2,1,3,7,0.622271365
21,2,1,3,8,0.633726316
21,2,1,3,9,0.667719415
21,2,1,3,10,0.636742022
22,2,1,3,1,0.65890459
22,2,1,3,2,0.636088877
22,2,1,3,3,0.625928477
22,2,1,3,4,0.650459847
22,2,1,3,5,0.658115495
22,2,1,3,6,0.655661271
22,2,1,3,7,0.657201409
22,2,1,3,8,0.66179423
22,2,1,3,9,0.642576306
22,2,1,3,10,0.690065458
23,2,1,3,1,0.567983406
23,2,1,3,2,0.591291334
23,2,1,3,3,0.566281783
23,2,1,3,4,0.611186418
23,2,1,3,5,0.576100538
23,2,1,3,6,0.564922058
23,2,1,3,7,0.578966368
23,2,1,3,8,0.562583111
23,2,1,3,9,0.585340256
23,2,1,3,10,0.588051486
1,2,2,4,1,0.594166455
1,2,2,4,2,0.607643156
1,2,2,4,3,0.641464421
1,2,2,4,4,0.638853543
1,2,2,4,5,0.682253039
1,2,2,4,6,0.631896019
1,2,2,4,7,0.620270315
1,2,2,4,8,0.647748242
1,2,2,4,9,0.63862326
1,2,2,4,10,0.614545893
2,2,2,4,1,0.450843681
2,2,2,4,2,0.441332863
2,2,2,4,3,0.437293085
2,2,2,4,4,0.444774366
2,2,2,4,5,0.441788534
2,2,2,4,6,0.446401106
2,2,2,4,7,0.520456892
2,2,2,4,8,0.452902195
2,2,2,4,9,0.450271101
2,2,2,4,10,0.477294554
3,2,2,4,1,0.940101268
