posx	posy	smh	smd	smv	pupil_size
-5.875353	-4.134824	-2.0	0.0	-2.0	5.101
-5.872444000000001	-4.137745	-2.0	0.0	-1.5	5.1
-5.875353	-4.146508999999999	-2.0	0.0	-1.0	5.099
-5.886986	-4.152351	-2.0	0.0	-0.5	5.097
-5.910251000000001	-4.158193	-2.0	0.0	0.0	5.098
-5.930607	-4.155272	-2.0	0.0	0.5	5.098
-5.945145	-4.152351	-2.0	0.0	1.0	5.098
-5.945145	-4.155272	-2.0	0.0	1.5	5.097
-5.948053	-4.166955	-2.0	0.0	2.0	5.097
-5.950961	-4.18448	-1.5	0.0	-2.0	5.097
-5.953868	-4.204923999999999	-1.5	0.0	-1.5	5.099
-5.948053	-4.219526	-1.5	0.0	-1.0	5.102
-5.930607	-4.222447	-1.5	0.0	-0.5	5.103
-5.916067	-4.204923999999999	-1.5	0.0	0.0	5.103
-5.901527	-4.190321	-1.5	0.0	0.5	5.101
-5.895711	-4.181558999999999	-1.5	0.0	1.0	5.105
-5.901527	-4.18448	-1.5	0.0	1.5	5.109
-5.910251000000001	-4.196162999999999	-1.5	0.0	2.0	5.114
-5.924791	-4.210765	-1.0	0.0	-2.0	5.111
-5.933515	-4.210765	-1.0	0.0	-1.5	5.109
-5.942238	-4.202004	-1.0	0.0	-1.0	5.106
-5.942238	-4.190321	-1.0	0.0	-0.5	5.106
-5.942238	-4.190321	-1.0	0.0	0.0	5.106
-5.924791	-4.190321	-1.0	0.0	0.5	5.107
-5.904434999999999	-4.193242	-1.0	0.0	1.0	5.108
-5.904434999999999	-4.196162999999999	-1.0	0.0	1.5	5.109
-5.921883	-4.187401	-1.0	0.0	2.0	5.11
-5.930607	-4.1786389999999995	-0.5	0.0	-2.0	5.11
-5.924791	-4.166955	-0.5	0.0	-1.5	5.111
-5.918975	-4.1611139999999995	-0.5	0.0	-1.0	5.11
-5.895711	-4.152351	-0.5	0.0	-0.5	5.108
-5.872444000000001	-4.155272	-0.5	0.0	0.0	5.104
-5.889894	-4.164034999999999	-0.5	0.0	0.5	5.1
-5.927699	-4.169876	-0.5	0.0	1.0	5.1
-5.968406	-4.175718	-0.5	0.0	1.5	5.104
-5.968406	-4.187401	-0.5	0.0	2.0	5.107
-5.965498	-4.199083	0.0	0.0	-2.0	5.108
-5.953868	-4.207845	0.0	0.0	-1.5	5.107
-5.945145	-4.202004	0.0	0.0	-1.0	5.107
-5.933515	-4.202004	0.0	0.0	-0.5	5.108
-5.927699	-4.204923999999999	0.0	0.0	0.0	5.11
-5.921883	-4.196162999999999	0.0	0.0	0.5	5.111
-5.918975	-4.187401	0.0	0.0	1.0	5.109
-5.916067	-4.181558999999999	0.0	0.0	1.5	5.107
-5.904434999999999	-4.190321	0.0	0.0	2.0	5.107
-5.892802	-4.196162999999999	0.5	0.0	-2.0	5.107
-5.869536	-4.196162999999999	0.5	0.0	-1.5	5.113
-5.854993	-4.196162999999999	0.5	0.0	-1.0	5.119
-5.852084	-4.213686	0.5	0.0	-0.5	5.125
-5.869536	-4.231208	0.5	0.0	0.0	5.125
-5.886986	-4.248729	0.5	0.0	0.5	5.124
-5.913158999999999	-4.239968	0.5	0.0	1.0	5.122
-5.930607	-4.242888	0.5	0.0	1.5	5.12
-5.948053	-4.245808	0.5	0.0	2.0	5.119
-5.948053	-4.251649	1.0	0.0	-2.0	5.119
-5.948053	-4.248729	1.0	0.0	-1.5	5.118
-5.93933	-4.242888	1.0	0.0	-1.0	5.117
-5.930607	-4.239968	1.0	0.0	-0.5	5.115
-5.936422	-4.237048	1.0	0.0	0.0	5.112
-5.948053	-4.239968	1.0	0.0	0.5	5.112
-5.9567760000000005	-4.239968	1.0	0.0	1.0	5.112
-5.953868	-4.234128	1.0	0.0	1.5	5.112
-5.9567760000000005	-4.222447	1.0	0.0	2.0	5.114
-5.965498	-4.210765	1.5	0.0	-2.0	5.116
-5.968406	-4.207845	1.5	0.0	-1.5	5.118
-5.965498	-4.207845	1.5	0.0	-1.0	5.119
-5.965498	-4.210765	1.5	0.0	-0.5	5.118
-5.965498	-4.213686	1.5	0.0	0.0	5.118
-5.968406	-4.210765	1.5	0.0	0.5	5.119
-5.971312999999999	-4.204923999999999	1.5	0.0	1.0	5.119
-5.974221	-4.199083	1.5	0.0	1.5	5.119
-5.982943	-4.199083	1.5	0.0	2.0	5.119
-5.991664	-4.199083	2.0	0.0	-2.0	5.12
-6.000386	-4.199083	2.0	0.0	-1.5	5.121
-5.9771279999999996	-4.202004	2.0	0.0	-1.0	5.12
-5.950961	-4.204923999999999	2.0	0.0	-0.5	5.119
-5.924791	-4.207845	2.0	0.0	0.0	5.115
-5.930607	-4.207845	2.0	0.0	0.5	5.112
-5.93933	-4.204923999999999	2.0	0.0	1.0	5.112
-5.950961	-4.207845	2.0	0.0	1.5	5.115
-5.953868	-4.196162999999999	2.0	0.0	2.0	5.119
-6.957948	4.503269	-2.0	0.0	-2.0	4.886
-6.972428	4.491522	-2.0	0.0	-1.5	4.889
-6.986905999999999	4.488585	-2.0	0.0	-1.0	4.89
-7.001385000000001	4.500332	-2.0	0.0	-0.5	4.892
-7.001385000000001	4.509143	-2.0	0.0	0.0	4.892
-6.998489	4.51208	-2.0	0.0	0.5	4.891
-6.9955929999999995	4.509143	-2.0	0.0	1.0	4.891
-6.998489	4.509143	-2.0	0.0	1.5	4.89
-7.0042800000000005	4.509143	-2.0	0.0	2.0	4.89
-7.010071000000001	4.515016	-1.5	0.0	-2.0	4.89
-7.010071000000001	4.517952999999999	-1.5	0.0	-1.5	4.888
-7.0129660000000005	4.509143	-1.5	0.0	-1.0	4.887
-7.015861999999999	4.494458	-1.5	0.0	-0.5	4.885
-7.018757000000001	4.479774	-1.5	0.0	0.0	4.883
-7.033233	4.476837000000001	-1.5	0.0	0.5	4.884
-7.050603	4.494458	-1.5	0.0	1.0	4.886
-7.056392999999999	4.515016	-1.5	0.0	1.5	4.887
-7.039022999999999	4.5297	-1.5	0.0	2.0	4.887
-7.018757000000001	4.5208900000000005	-1.0	0.0	-2.0	4.886
-7.0042800000000005	4.509143	-1.0	0.0	-1.5	4.883
-6.998489	4.500332	-1.0	0.0	-1.0	4.878
-6.998489	4.497395	-1.0	0.0	-0.5	4.875
-6.998489	4.497395	-1.0	0.0	0.0	4.873
-7.001385000000001	4.491522	-1.0	0.0	0.5	4.873
-6.992698	4.485648	-1.0	0.0	1.0	4.872
-6.984011	4.488585	-1.0	0.0	1.5	4.871
-6.9753229999999995	4.494458	-1.0	0.0	2.0	4.871
-6.981114999999999	4.506206	-0.5	0.0	-2.0	4.872
-6.986905999999999	4.506206	-0.5	0.0	-1.5	4.873
-6.989802	4.509143	-0.5	0.0	-1.0	4.873
-6.992698	4.500332	-0.5	0.0	-0.5	4.875
-6.9955929999999995	4.488585	-0.5	0.0	0.0	4.878
-7.001385000000001	4.479774	-0.5	0.0	0.5	4.88
-7.001385000000001	4.482711	-0.5	0.0	1.0	4.881
-7.001385000000001	4.488585	-0.5	0.0	1.5	4.884
-6.998489	4.491522	-0.5	0.0	2.0	4.888
-6.9955929999999995	4.488585	0.0	0.0	-2.0	4.89
-6.9955929999999995	4.488585	0.0	0.0	-1.5	4.889
-6.998489	4.491522	0.0	0.0	-1.0	4.884
-6.9955929999999995	4.494458	0.0	0.0	-0.5	4.879
-6.9955929999999995	4.497395	0.0	0.0	0.0	4.875
-6.992698	4.497395	0.0	0.0	0.5	4.873
-6.992698	4.500332	0.0	0.0	1.0	4.871
-6.989802	4.506206	0.0	0.0	1.5	4.869
-6.984011	4.509143	0.0	0.0	2.0	4.87
-6.978219	4.497395	0.5	0.0	-2.0	4.876
-6.992698	4.488585	0.5	0.0	-1.5	4.88
-7.007175999999999	4.4738999999999995	0.5	0.0	-1.0	4.879
-7.027442999999999	4.470963	0.5	0.0	-0.5	4.876
-7.036128	4.465088	0.5	0.0	0.0	4.872
-7.044813	4.465088	0.5	0.0	0.5	4.872
-7.044813	4.479774	0.5	0.0	1.0	4.872
-7.041917999999999	4.494458	0.5	0.0	1.5	4.871
-7.036128	4.497395	0.5	0.0	2.0	4.87
-7.0216520000000004	4.485648	1.0	0.0	-2.0	4.869
-7.010071000000001	4.4738999999999995	1.0	0.0	-1.5	4.868
-7.001385000000001	4.482711	1.0	0.0	-1.0	4.867
-7.007175999999999	4.491522	1.0	0.0	-0.5	4.866
-7.0042800000000005	4.491522	1.0	0.0	0.0	4.871
-6.9955929999999995	4.45334	1.0	0.0	0.5	4.875
-6.978219	4.418093	1.0	0.0	1.0	4.878
-6.966636	4.406343	1.0	0.0	1.5	4.877
-6.952155	4.43278	1.0	0.0	2.0	4.874
-6.946363000000001	4.45334	1.5	0.0	-2.0	4.873
-6.940571	4.4621509999999995	1.5	0.0	-1.5	4.87
-6.934778	4.456277	1.5	0.0	-1.0	4.867
-6.931882000000001	4.459214	1.5	0.0	-0.5	4.864
-6.955052	4.4621509999999995	1.5	0.0	0.0	4.863
-6.9753229999999995	4.4621509999999995	1.5	0.0	0.5	4.859
-7.0042800000000005	4.456277	1.5	0.0	1.0	4.858
-7.0129660000000005	4.450403	1.5	0.0	1.5	4.856
-7.024547999999999	4.459214	1.5	0.0	2.0	4.858
-7.030338	4.465088	2.0	0.0	-2.0	4.859
-7.036128	4.470963	2.0	0.0	-1.5	4.857
-7.047708	4.4621509999999995	2.0	0.0	-1.0	4.854
-7.0592880000000005	4.4621509999999995	2.0	0.0	-0.5	4.849
-7.050603	4.465088	2.0	0.0	0.0	4.849
-7.0129660000000005	4.465088	2.0	0.0	0.5	4.849
-6.9753229999999995	4.459214	2.0	0.0	1.0	4.85
-6.960844	4.456277	2.0	0.0	1.5	4.85
-6.96374	4.456277	2.0	0.0	2.0	4.85
-2.203313	-2.7561280000000004	-2.0	0.0	-2.0	5.152
-2.197443	-2.7502629999999995	-2.0	0.0	-1.5	5.152
-2.2003779999999997	-2.7355989999999997	-2.0	0.0	-1.0	5.153
-2.2062470000000003	-2.726801	-2.0	0.0	-0.5	5.157
-2.2091819999999998	-2.7473300000000007	-2.0	0.0	0.0	5.16
-2.215052	-2.7678589999999996	-2.0	0.0	0.5	5.162
-2.215052	-2.759061	-2.0	0.0	1.0	5.161
-2.203313	-2.726801	-2.0	0.0	1.5	5.159
-2.191573	-2.7092039999999997	-2.0	0.0	2.0	5.157
-2.188638	-2.720935	-1.5	0.0	-2.0	5.159
-2.182768	-2.7355989999999997	-1.5	0.0	-1.5	5.161
-2.176898	-2.738532	-1.5	0.0	-1.0	5.163
-2.1710279999999997	-2.7473300000000007	-1.5	0.0	-0.5	5.163
-2.188638	-2.7473300000000007	-1.5	0.0	0.0	5.163
-2.2091819999999998	-2.7443980000000003	-1.5	0.0	0.5	5.163
-2.217987	-2.7443980000000003	-1.5	0.0	1.0	5.162
-2.215052	-2.759061	-1.5	0.0	1.5	5.163
-2.2091819999999998	-2.7737239999999996	-1.5	0.0	2.0	5.162
-2.2003779999999997	-2.753196	-1.0	0.0	-2.0	5.161
-2.182768	-2.726801	-1.0	0.0	-1.5	5.161
-2.165159	-2.6974720000000003	-1.0	0.0	-1.0	5.163
-2.1857029999999997	-2.694539	-1.0	0.0	-0.5	5.163
-2.217987	-2.7033379999999996	-1.0	0.0	0.0	5.162
-2.250269	-2.7238680000000004	-1.0	0.0	0.5	5.161
-2.235595	-2.7443980000000003	-1.0	0.0	1.0	5.162
-2.2209220000000003	-2.7561280000000004	-1.0	0.0	1.5	5.164
-2.2091819999999998	-2.7561280000000004	-1.0	0.0	2.0	5.165
-2.217987	-2.759061	-0.5	0.0	-2.0	5.166
-2.223856	-2.7619930000000004	-0.5	0.0	-1.5	5.168
-2.229726	-2.764926	-0.5	0.0	-1.0	5.17
-2.229726	-2.753196	-0.5	0.0	-0.5	5.171
-2.229726	-2.732667	-0.5	0.0	0.0	5.171
-2.223856	-2.71507	-0.5	0.0	0.5	5.17
-2.215052	-2.7121370000000002	-0.5	0.0	1.0	5.167
-2.215052	-2.7180029999999995	-0.5	0.0	1.5	5.164
-2.2209220000000003	-2.7355989999999997	-0.5	0.0	2.0	5.162
-2.217987	-2.753196	0.0	0.0	-2.0	5.162
-2.2062470000000003	-2.770791	0.0	0.0	-1.5	5.163
-2.191573	-2.7795889999999996	0.0	0.0	-1.0	5.163
-2.1857029999999997	-2.770791	0.0	0.0	-0.5	5.163
-2.168094	-2.764926	0.0	0.0	0.0	5.163
-2.147548	-2.7561280000000004	0.0	0.0	0.5	5.163
-2.1181970000000003	-2.753196	0.0	0.0	1.0	5.161
-2.106456	-2.753196	0.0	0.0	1.5	5.16
-2.09178	-2.7561280000000004	0.0	0.0	2.0	5.159
