	posx	posy	smh	smd	smv	pupil_size	sr_0	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8	sr_9	sr_10	sr_11	sr_12	sr_13	sr_14
0	11.497087	-1.022794	-2.0	0.0	-2.0	2.9419999999999997	0.14944350605515203	0.23472801434602933	0.2495311981346302	0.2364469716903713	0.16684995455566856	0.21156614412002878	0.27995896707416185	0.27015624897358637	0.28419089916294427	0.1879813264850891	0.2539150995469349	0.3134774607026759	0.3319520670773446	0.28937347357443255	0.22570697626013395
1	11.480151	-1.03162	-2.0	0.0	-1.5	2.944	0.14689306398519944	0.23751026161029512	0.2603740372894291	0.239279666294971	0.1645809521740483	0.20578778183022517	0.277048552672007	0.2646123566493336	0.28157155236166126	0.18554352211394082	0.24915502676593868	0.3098090890018082	0.3294877248658203	0.2846083418330184	0.22007272512809284
2	11.463214	-1.037505	-2.0	0.0	-1.0	2.945	0.1453029751379397	0.23785097061912336	0.2701062531547997	0.24263506240247287	0.16263717703010164	0.20120757258300845	0.2748374206562744	0.260644739830511	0.27999301402472504	0.18470693717941375	0.24480321911669972	0.3055061270445757	0.32594397202682396	0.27993313498557226	0.21567488128433268
3	11.446274	-1.037505	-2.0	0.0	-0.5	2.943	0.14424802487822652	0.23629529138477626	0.27674847196968	0.24536753869566275	0.16092369729575304	0.19614471599170571	0.27323161164546866	0.25798742148554005	0.2786293788516869	0.18377815039084844	0.2399363044494967	0.30069490944392496	0.3210547930315648	0.2744479293247393	0.21069456020658667
4	11.446274	-1.037505	-2.0	0.0	0.0	2.9419999999999997	0.14354801967302505	0.23306996566786098	0.2817551405433368	0.24830975005361727	0.1583725813249392	0.19011566308979283	0.27178424006930735	0.2570051411108574	0.2778701454396125	0.18247250200631268	0.2340551321749928	0.2949773241271151	0.31443783815590454	0.2691291055875992	0.2058137607298393
5	11.449097	-1.037505	-2.0	0.0	0.5	2.9419999999999997	0.14435859592576444	0.22904459768180072	0.2848421442261869	0.2509843646584026	0.15601185614601465	0.18481431416835403	0.2708943669991394	0.25770363966860077	0.27777783625130487	0.18223271504253064	0.22913305047095053	0.28860141727272376	0.3049950080737209	0.26365163395903113	0.20241250467754518
6	11.451921	-1.034563	-2.0	0.0	1.0	2.9419999999999997	0.1456955288149559	0.2246352825229023	0.28673953952262193	0.254402474436442	0.15410146729101262	0.17823136214613186	0.2699219174238136	0.26010558440981596	0.2779880004324722	0.18178764631704525	0.22248499787903153	0.2804355500739486	0.2919778016323097	0.257678921305807	0.19794725200493607
7	11.457567	-1.03162	-2.0	0.0	1.5	2.9419999999999997	0.1479216338444192	0.2199467636200598	0.2870470239467051	0.2575733978885935	0.1519428406510002	0.17295716899224503	0.26941681406877716	0.26397447149985426	0.2788116138589946	0.18170253837529252	0.21652173891868748	0.2706316993356933	0.2774455001527856	0.25287009990006365	0.19435953775120537
8	11.46039	-1.03162	-2.0	0.0	2.0	2.9419999999999997	0.15007510674590954	0.21526749380388097	0.2860985687533779	0.26114338707871737	0.14980852078092052	0.16732585142869888	0.2696659148412711	0.26927927420602515	0.2800785168174682	0.1814213705919257	0.2103561827175275	0.2602926044548106	0.26353722436461574	0.24927534216838118	0.19105550696951987
9	11.457567	-1.03162	-1.5	0.0	-2.0	2.945	0.14776888888716289	0.22981932773139693	0.24958527107369521	0.2373848006769679	0.16589909891142415	0.20952787409345144	0.2715632432298419	0.27263092432931946	0.28408215767627015	0.18904348431719853	0.25140684982945766	0.3126194987800364	0.33234367939634873	0.28772998343862133	0.22857070558206813
10	11.454744	-1.03162	-1.5	0.0	-1.5	2.947	0.145561581057047	0.23454948891819102	0.26106050631830574	0.24020129499505902	0.16416335081877972	0.20365044443694236	0.2681558973500585	0.2674960545948991	0.2821273225795383	0.18731095968267028	0.24652008633190198	0.3087244866675465	0.33002816934825485	0.2829946065525443	0.2233684177099282
11	11.454744	-1.049273	-1.5	0.0	-1.0	2.949	0.1438336169165791	0.23611527788307893	0.2706079383557943	0.24264773554038652	0.162072598614298	0.19817257150917092	0.26517894816972526	0.26320409666610906	0.2804917560450616	0.18547726547648138	0.24173512671331815	0.30402351608433364	0.3264349394560886	0.2781673123076192	0.21859198992780082
12	11.457567	-1.0639840000000005	-1.5	0.0	-0.5	2.948	0.14296790833575498	0.23592233250627329	0.2779967471120335	0.2454261410866153	0.16022154805736352	0.1933753201499748	0.26367532357037254	0.26062281579920743	0.2796700762343414	0.1848374146621142	0.23734621056258426	0.2985714227183945	0.32151976108659375	0.27297642575365116	0.21422403283851169
13	11.46039	-1.0816360000000005	-1.5	0.0	0.0	2.947	0.1431165495601754	0.2339342199234003	0.28314911695615974	0.2480183227185171	0.1586351081274182	0.18817399262374618	0.2626557313786432	0.25966568650792754	0.27931641516714006	0.18406279109525325	0.23220749057692014	0.2923761612141232	0.3151890774752943	0.2678085522113273	0.21003999854872582
14	11.457567	-1.0816360000000005	-1.5	0.0	0.5	2.947	0.14304987467555885	0.23030935139752795	0.2866349562319402	0.2504089991774596	0.1559681645355692	0.1826110973256886	0.2624722350085335	0.26052135334621734	0.2794847582352364	0.1833926366600573	0.22653171404871464	0.28499833834959953	0.30592505731400926	0.2622693294661096	0.20549809197696556
