posx	posy	smh	smd	smv	pupil_size
-12.290719000000001	6.194456	-2.0	0.0	-2.0	2.562
-12.285107	6.197381	-2.0	0.0	-2.0	2.562
-12.276688	6.197381	-2.0	0.0	-2.0	2.562
-12.276688	6.197381	-2.0	0.0	-2.0	2.561
-12.287913	6.197381	-2.0	0.0	-2.0	2.561
-12.299137	6.197381	-2.0	0.0	-2.0	2.561
-12.301943	6.194456	-2.0	0.0	-2.0	2.561
-12.296331	6.1915320000000005	-2.0	0.0	-2.0	2.562
-12.285107	6.188608	-2.0	0.0	-2.0	2.562
-12.276688	6.185683	-2.0	0.0	-2.0	2.563
-12.273882	6.185683	-2.0	0.0	-2.0	2.563
-12.279494999999999	6.188608	-2.0	0.0	-2.0	2.56
-12.282301	6.182759	-2.0	0.0	-2.0	2.557
-12.276688	6.173986	-2.0	0.0	-2.0	2.554
-12.273882	6.165212	-2.0	0.0	-2.0	2.558
-12.268269	6.165212	-2.0	0.0	-2.0	2.562
-12.265463	6.171061	-2.0	0.0	-2.0	2.565
-12.265463	6.179834	-2.0	0.0	-2.0	2.564
-12.271075999999999	6.185683	-2.0	0.0	-2.0	2.563
-12.268269	6.188608	-2.0	0.0	-2.0	2.563
-12.262656	6.1915320000000005	-2.0	0.0	-2.0	2.563
-12.259849	6.194456	-2.0	0.0	-2.0	2.56
-12.251429	6.197381	-2.0	0.0	-2.0	2.558
-12.248622	6.194456	-2.0	0.0	-2.0	2.556
-12.245814999999999	6.200305	-2.0	0.0	-2.0	2.556
-12.248622	6.203229	-2.0	0.0	-2.0	2.557
-12.251429	6.200305	-2.0	0.0	-2.0	2.558
-12.248622	6.194456	-2.0	0.0	-2.0	2.559
-12.240200999999999	6.185683	-2.0	0.0	-2.0	2.559
-12.23178	6.185683	-2.0	0.0	-2.0	2.559
-12.226165	6.185683	-2.0	0.0	-2.0	2.559
-12.22055	6.182759	-2.0	0.0	-2.0	2.558
-12.226165	6.182759	-2.0	0.0	-2.0	2.555
-12.234587	6.182759	-2.0	0.0	-2.0	2.553
-12.243008	6.179834	-2.0	0.0	-2.0	2.552
-12.243008	6.173986	-2.0	0.0	-2.0	2.551
-12.237394	6.171061	-2.0	0.0	-2.0	2.551
-12.234587	6.165212	-2.0	0.0	-2.0	2.552
-12.234587	6.165212	-2.0	0.0	-2.0	2.552
-12.251429	6.165212	-2.0	0.0	-2.0	2.552
-12.265463	6.168137000000001	-2.0	0.0	-2.0	2.551
-12.276688	6.165212	-2.0	0.0	-2.0	2.55
-12.268269	6.17691	-2.0	0.0	-2.0	2.549
-12.257043	6.188608	-2.0	0.0	-2.0	2.548
-12.248622	6.194456	-2.0	0.0	-2.0	2.548
-12.245814999999999	6.194456	-2.0	0.0	-2.0	2.548
-12.248622	6.185683	-2.0	0.0	-2.0	2.546
-12.251429	6.182759	-2.0	0.0	-2.0	2.543
-12.257043	6.17691	-2.0	0.0	-2.0	2.543
-12.259849	6.179834	-2.0	0.0	-2.0	2.545
-12.259849	6.179834	-2.0	0.0	-2.0	2.547
-12.257043	6.17691	-2.0	0.0	-2.0	2.546
-12.254236	6.168137000000001	-2.0	0.0	-2.0	2.543
-12.251429	6.162287	-2.0	0.0	-2.0	2.541
-12.251429	6.165212	-2.0	0.0	-2.0	2.54
-12.245814999999999	6.17691	-2.0	0.0	-2.0	2.541
-12.243008	6.194456	-2.0	0.0	-2.0	2.543
-12.251429	6.203229	-2.0	0.0	-2.0	2.542
-12.265463	6.212002	-2.0	0.0	-2.0	2.542
-12.279494999999999	6.212002	-2.0	0.0	-2.0	2.541
-12.276688	6.203229	-2.0	0.0	-2.0	2.54
-12.271075999999999	6.194456	-2.0	0.0	-2.0	2.54
-12.265463	6.185683	-2.0	0.0	-2.0	2.537
-12.259849	6.171061	-2.0	0.0	-2.0	2.535
-12.262656	6.159363	-2.0	0.0	-2.0	2.532
-12.268269	6.156438	-2.0	0.0	-2.0	2.532
-12.273882	6.165212	-2.0	0.0	-2.0	2.533
-12.276688	6.17691	-2.0	0.0	-2.0	2.535
