posx	posy	smh	smd	smv	pupil_size
8.280374	-5.204898999999999	-2.0	0.0	-2.0	3.463
8.280374	-5.204898999999999	-2.0	0.0	-1.5	3.46
8.280374	-5.201989	-2.0	0.0	-1.0	3.458
8.286131	-5.228177	-2.0	0.0	-0.5	3.456
8.289009	-5.254363	-2.0	0.0	0.0	3.458
8.294765	-5.286365	-2.0	0.0	0.5	3.459
8.303399	-5.289274	-2.0	0.0	1.0	3.461
8.309154	-5.280547	-2.0	0.0	1.5	3.462
8.317788	-5.2601819999999995	-2.0	0.0	2.0	3.46
8.323542999999999	-5.228177	-1.5	0.0	-2.0	3.457
8.329298	-5.210718	-1.5	0.0	-1.5	3.453
8.329298	-5.204898999999999	-1.5	0.0	-1.0	3.453
8.326421	-5.201989	-1.5	0.0	-0.5	3.452
8.320665	-5.204898999999999	-1.5	0.0	0.0	3.452
8.317788	-5.210718	-1.5	0.0	0.5	3.451
8.317788	-5.233997	-1.5	0.0	1.0	3.452
8.320665	-5.2572730000000005	-1.5	0.0	1.5	3.452
8.314910000000001	-5.280547	-1.5	0.0	2.0	3.452
8.306277	-5.283455999999999	-1.0	0.0	-2.0	3.451
8.303399	-5.283455999999999	-1.0	0.0	-1.5	3.45
8.306277	-5.271819	-1.0	0.0	-1.0	3.449
8.320665	-5.2601819999999995	-1.0	0.0	-0.5	3.444
8.340808	-5.251454	-1.0	0.0	0.0	3.441
8.360947999999999	-5.254363	-1.0	0.0	0.5	3.437
8.363825	-5.254363	-1.0	0.0	1.0	3.437
8.358071	-5.254363	-1.0	0.0	1.5	3.437
8.34944	-5.251454	-1.0	0.0	2.0	3.436
8.358071	-5.266001	-0.5	0.0	-2.0	3.435
8.366702	-5.277637	-0.5	0.0	-1.5	3.436
8.372456	-5.303818	-0.5	0.0	-1.0	3.437
8.366702	-5.309636	-0.5	0.0	-0.5	3.438
8.340808	-5.309636	-0.5	0.0	0.0	3.437
8.317788	-5.283455999999999	-0.5	0.0	0.5	3.436
8.326421	-5.245635	-0.5	0.0	1.0	3.435
8.34944	-5.216538	-0.5	0.0	1.5	3.435
8.375333	-5.222358	-0.5	0.0	2.0	3.434
8.375333	-5.239816	0.0	0.0	-2.0	3.431
8.381086999999999	-5.254363	0.0	0.0	-1.5	3.427
8.383963	-5.245635	0.0	0.0	-1.0	3.424
8.389717	-5.2601819999999995	0.0	0.0	-0.5	3.423
8.39547	-5.283455999999999	0.0	0.0	0.0	3.424
8.389717	-5.277637	0.0	0.0	0.5	3.425
8.363825	-5.248544	0.0	0.0	1.0	3.426
8.340808	-5.2572730000000005	0.0	0.0	1.5	3.422
8.34944	-5.292183	0.0	0.0	2.0	3.415
8.375333	-5.327088	0.5	0.0	-2.0	3.408
8.392593	-5.327088	0.5	0.0	-1.5	3.404
8.389717	-5.329997	0.5	0.0	-1.0	3.404
8.389717	-5.329997	0.5	0.0	-0.5	3.404
8.39547	-5.329997	0.5	0.0	0.0	3.404
8.392593	-5.327088	0.5	0.0	0.5	3.404
8.383963	-5.292183	0.5	0.0	1.0	3.405
8.352317	-5.2572730000000005	0.5	0.0	1.5	3.406
8.317788	-5.225268	0.5	0.0	2.0	3.405
8.283252000000001	-5.228177	1.0	0.0	-2.0	3.401
8.271739	-5.236905999999999	1.0	0.0	-1.5	3.397
8.283252000000001	-5.242725	1.0	0.0	-1.0	3.395
8.309154	-5.254363	1.0	0.0	-0.5	3.394
8.335053	-5.26891	1.0	0.0	0.0	3.393
8.340808	-5.286365	1.0	0.0	0.5	3.389
8.358071	-5.2950919999999995	1.0	0.0	1.0	3.386
8.375333	-5.286365	1.0	0.0	1.5	3.384
8.358071	-5.266001	1.0	0.0	2.0	3.384
8.323542999999999	-5.245635	1.5	0.0	-2.0	3.384
8.300521	-5.228177	1.5	0.0	-1.5	3.385
8.317788	-5.225268	1.5	0.0	-1.0	3.384
8.33793	-5.236905999999999	1.5	0.0	-0.5	3.382
8.33793	-5.251454	1.5	0.0	0.0	3.38
8.326421	-5.266001	1.5	0.0	0.5	3.38
8.309154	-5.2572730000000005	1.5	0.0	1.0	3.381
8.297642999999999	-5.251454	1.5	0.0	1.5	3.378
8.303399	-5.271819	1.5	0.0	2.0	3.374
8.317788	-5.298001	2.0	0.0	-2.0	3.371
8.335053	-5.324179	2.0	0.0	-1.5	3.371
8.335053	-5.3183620000000005	2.0	0.0	-1.0	3.366
8.323542999999999	-5.309636	2.0	0.0	-0.5	3.361
8.306277	-5.298001	2.0	0.0	0.0	3.355
8.289009	-5.2950919999999995	2.0	0.0	0.5	3.354
8.286131	-5.2950919999999995	2.0	0.0	1.0	3.355
8.294765	-5.292183	2.0	0.0	1.5	3.357
8.312032	-5.292183	2.0	0.0	2.0	3.358
0.88169	-0.628439	-2.0	0.0	-2.0	3.476
0.8787520000000001	-0.5960580000000002	-2.0	0.0	-1.5	3.468
0.872875	-0.563677	-2.0	0.0	-1.0	3.464
0.864059	-0.537182	-2.0	0.0	-0.5	3.463
0.869936	-0.5342380000000002	-2.0	0.0	0.0	3.461
0.8905059999999999	-0.554845	-2.0	0.0	0.5	3.46
0.914013	-0.5783959999999999	-2.0	0.0	1.0	3.459
0.9228290000000001	-0.6019459999999999	-2.0	0.0	1.5	3.458
0.91989	-0.604889	-2.0	0.0	2.0	3.457
0.896383	-0.6078330000000003	-1.5	0.0	-2.0	3.457
0.8669979999999999	-0.6107770000000001	-1.5	0.0	-1.5	3.457
0.8376120000000001	-0.5931150000000003	-1.5	0.0	-1.0	3.458
0.849366	-0.5754520000000001	-1.5	0.0	-0.5	3.457
0.8669979999999999	-0.554845	-1.5	0.0	0.0	3.455
0.8846290000000001	-0.5577890000000001	-1.5	0.0	0.5	3.448
0.8846290000000001	-0.5607330000000001	-1.5	0.0	1.0	3.444
0.88169	-0.563677	-1.5	0.0	1.5	3.441
0.872875	-0.563677	-1.5	0.0	2.0	3.441
0.864059	-0.5607330000000001	-1.0	0.0	-2.0	3.441
0.864059	-0.554845	-1.0	0.0	-1.5	3.44
0.869936	-0.551901	-1.0	0.0	-1.0	3.436
0.887567	-0.5577890000000001	-1.0	0.0	-0.5	3.432
0.9022600000000001	-0.5666200000000001	-1.0	0.0	0.0	3.428
0.896383	-0.5754520000000001	-1.0	0.0	0.5	3.427
0.875813	-0.569564	-1.0	0.0	1.0	3.426
0.858182	-0.563677	-1.0	0.0	1.5	3.424
0.858182	-0.563677	-1.0	0.0	2.0	3.423
0.855243	-0.5666200000000001	-0.5	0.0	-2.0	3.422
0.8669979999999999	-0.5725080000000002	-0.5	0.0	-1.5	3.422
0.8611200000000001	-0.5725080000000002	-0.5	0.0	-1.0	3.421
0.8611200000000001	-0.569564	-0.5	0.0	-0.5	3.421
0.8611200000000001	-0.569564	-0.5	0.0	0.0	3.421
0.875813	-0.5754520000000001	-0.5	0.0	0.5	3.412
0.88169	-0.5872270000000002	-0.5	0.0	1.0	3.404
0.88169	-0.5931150000000003	-0.5	0.0	1.5	3.395
0.88169	-0.599002	-0.5	0.0	2.0	3.394
0.88169	-0.5872270000000002	0.0	0.0	-2.0	3.391
0.8787520000000001	-0.5783959999999999	0.0	0.0	-1.5	3.388
0.875813	-0.5725080000000002	0.0	0.0	-1.0	3.385
0.875813	-0.5754520000000001	0.0	0.0	-0.5	3.382
0.872875	-0.581339	0.0	0.0	0.0	3.378
0.869936	-0.581339	0.0	0.0	0.5	3.373
0.88169	-0.5783959999999999	0.0	0.0	1.0	3.371
0.896383	-0.5754520000000001	0.0	0.0	1.5	3.37
0.908136	-0.5783959999999999	0.0	0.0	2.0	3.37
0.914013	-0.5842830000000003	0.5	0.0	-2.0	3.366
0.91989	-0.590171	0.5	0.0	-1.5	3.363
0.925767	-0.5842830000000003	0.5	0.0	-1.0	3.36
0.925767	-0.581339	0.5	0.0	-0.5	3.362
0.908136	-0.581339	0.5	0.0	0.0	3.362
0.887567	-0.5842830000000003	0.5	0.0	0.5	3.36
0.88169	-0.5754520000000001	0.5	0.0	1.0	3.359
0.893444	-0.563677	0.5	0.0	1.5	3.361
0.911075	-0.5842830000000003	0.5	0.0	2.0	3.362
0.914013	-0.604889	1.0	0.0	-2.0	3.363
0.91989	-0.6107770000000001	1.0	0.0	-1.5	3.362
0.911075	-0.6019459999999999	1.0	0.0	-1.0	3.358
0.9022600000000001	-0.590171	1.0	0.0	-0.5	3.354
0.8993209999999999	-0.5842830000000003	1.0	0.0	0.0	3.353
0.931644	-0.5754520000000001	1.0	0.0	0.5	3.352
0.95809	-0.5666200000000001	1.0	0.0	1.0	3.35
0.9463360000000001	-0.563677	1.0	0.0	1.5	3.348
0.911075	-0.5577890000000001	1.0	0.0	2.0	3.346
0.9022600000000001	-0.5577890000000001	1.5	0.0	-2.0	3.341
0.9287059999999999	-0.5577890000000001	1.5	0.0	-1.5	3.336
0.9610280000000001	-0.5577890000000001	1.5	0.0	-1.0	3.331
0.9669049999999999	-0.554845	1.5	0.0	-0.5	3.332
0.9228290000000001	-0.569564	1.5	0.0	0.0	3.334
0.872875	-0.5872270000000002	1.5	0.0	0.5	3.334
