posx	posy	smh	smd	smv	pupil_size
-14.051685	6.694406	-2.0	0.0	-2.0	6.949
-14.054451	6.6856860000000005	-2.0	0.0	-1.5	6.951
-14.057216	6.679873	-2.0	0.0	-1.0	6.953
-14.059982000000002	6.679873	-2.0	0.0	-0.5	6.955
-14.062748000000001	6.676966	-2.0	0.0	0.0	6.957
-14.065514000000002	6.674059	-2.0	0.0	0.5	6.957
-14.068279	6.671152	-2.0	0.0	1.0	6.958
-14.068279	6.679873	-2.0	0.0	1.5	6.958
-14.068279	6.6915	-2.0	0.0	2.0	6.958
-14.068279	6.697313	-1.5	0.0	-2.0	6.958
-14.071045000000002	6.688592999999999	-1.5	0.0	-1.5	6.961
-14.068279	6.68278	-1.5	0.0	-1.0	6.964
-14.062748000000001	6.679873	-1.5	0.0	-0.5	6.968
-14.057216	6.679873	-1.5	0.0	0.0	6.969
-14.051685	6.676966	-1.5	0.0	0.5	6.97
-14.051685	6.676966	-1.5	0.0	1.0	6.97
-14.051685	6.679873	-1.5	0.0	1.5	6.971
-14.054451	6.68278	-1.5	0.0	2.0	6.97
-14.054451	6.68278	-1.0	0.0	-2.0	6.971
-14.054451	6.68278	-1.0	0.0	-1.5	6.974
-14.057216	6.679873	-1.0	0.0	-1.0	6.977
-14.062748000000001	6.676966	-1.0	0.0	-0.5	6.978
-14.068279	6.674059	-1.0	0.0	0.0	6.976
-14.059982000000002	6.671152	-1.0	0.0	0.5	6.974
-14.051685	6.671152	-1.0	0.0	1.0	6.976
-14.043387	6.671152	-1.0	0.0	1.5	6.979
-14.04062	6.674059	-1.0	0.0	2.0	6.982
-14.04062	6.676966	-0.5	0.0	-2.0	6.983
-14.043387	6.679873	-0.5	0.0	-1.5	6.983
-14.046153	6.674059	-0.5	0.0	-1.0	6.984
-14.048919	6.668245	-0.5	0.0	-0.5	6.985
-14.048919	6.659525	-0.5	0.0	0.0	6.987
-14.046153	6.659525	-0.5	0.0	0.5	6.988
-14.048919	6.659525	-0.5	0.0	1.0	6.989
-14.062748000000001	6.662432000000001	-0.5	0.0	1.5	6.99
-14.07381	6.665339	-0.5	0.0	2.0	6.991
-14.082106	6.668245	0.0	0.0	-2.0	6.994
-14.079341000000001	6.676966	0.0	0.0	-1.5	6.995
-14.082106	6.68278	0.0	0.0	-1.0	6.997
-14.082106	6.6915	0.0	0.0	-0.5	6.997
-14.079341000000001	6.697313	0.0	0.0	0.0	6.998
-14.079341000000001	6.706032	0.0	0.0	0.5	6.999
-14.076575	6.714752000000001	0.0	0.0	1.0	7.001
-14.082106	6.714752000000001	0.0	0.0	1.5	7.001
-14.084871	6.708939	0.0	0.0	2.0	7.001
-14.079341000000001	6.703125999999999	0.5	0.0	-2.0	7.002
-14.071045000000002	6.700219000000001	0.5	0.0	-1.5	7.002
-14.062748000000001	6.700219000000001	0.5	0.0	-1.0	7.002
-14.059982000000002	6.700219000000001	0.5	0.0	-0.5	7.002
-14.057216	6.700219000000001	0.5	0.0	0.0	7.003
-14.051685	6.700219000000001	0.5	0.0	0.5	7.004
-14.057216	6.700219000000001	0.5	0.0	1.0	7.004
-14.062748000000001	6.700219000000001	0.5	0.0	1.5	7.005
-14.068279	6.703125999999999	0.5	0.0	2.0	7.008
-14.068279	6.711844999999999	1.0	0.0	-2.0	7.011
-14.065514000000002	6.7205639999999995	1.0	0.0	-1.5	7.014
-14.059982000000002	6.732189	1.0	0.0	-1.0	7.015
-14.054451	6.735094999999999	1.0	0.0	-0.5	7.015
-14.051685	6.732189	1.0	0.0	0.0	7.015
-14.043387	6.729283000000001	1.0	0.0	0.5	7.016
-14.035088	6.72347	1.0	0.0	1.0	7.015
-14.029554999999998	6.72347	1.0	0.0	1.5	7.015
-14.029554999999998	6.7205639999999995	1.0	0.0	2.0	7.015
-14.029554999999998	6.7205639999999995	1.5	0.0	-2.0	7.017
-14.029554999999998	6.72347	1.5	0.0	-1.5	7.018
-14.029554999999998	6.72347	1.5	0.0	-1.0	7.018
-14.026789	6.72347	1.5	0.0	-0.5	7.02
-14.026789	6.726377	1.5	0.0	0.0	7.023
-14.026789	6.726377	1.5	0.0	0.5	7.026
-14.021254999999998	6.726377	1.5	0.0	1.0	7.027
-14.018489	6.726377	1.5	0.0	1.5	7.026
-14.012954999999998	6.72347	1.5	0.0	2.0	7.025
-14.010188000000001	6.7205639999999995	2.0	0.0	-2.0	7.024
-14.007420999999999	6.717658	2.0	0.0	-1.5	7.024
-14.004654	6.711844999999999	2.0	0.0	-1.0	7.026
-13.996353	6.708939	2.0	0.0	-0.5	7.03
-13.990817999999999	6.708939	2.0	0.0	0.0	7.035
-13.990817999999999	6.708939	2.0	0.0	0.5	7.038
-13.993585000000001	6.711844999999999	2.0	0.0	1.0	7.038
-13.993585000000001	6.714752000000001	2.0	0.0	1.5	7.036
-13.990817999999999	6.7205639999999995	2.0	0.0	2.0	7.035
-5.196901	1.211692	-2.0	0.0	-2.0	7.704
-5.205646	1.208747	-2.0	0.0	-1.5	7.706
-5.205646	1.208747	-2.0	0.0	-1.0	7.707
-5.205646	1.211692	-2.0	0.0	-0.5	7.707
-5.205646	1.217583	-2.0	0.0	0.0	7.708
-5.208561	1.2264190000000001	-2.0	0.0	0.5	7.709
-5.208561	1.2293639999999997	-2.0	0.0	1.0	7.71
-5.196901	1.2293639999999997	-2.0	0.0	1.5	7.711
-5.185241	1.2293639999999997	-2.0	0.0	2.0	7.712
-5.167749	1.2264190000000001	-1.5	0.0	-2.0	7.713
-5.164834	1.223473	-1.5	0.0	-1.5	7.715
-5.164834	1.220528	-1.5	0.0	-1.0	7.715
-5.170664	1.223473	-1.5	0.0	-0.5	7.715
-5.17358	1.2264190000000001	-1.5	0.0	0.0	7.715
-5.17941	1.2293639999999997	-1.5	0.0	0.5	7.715
-5.176495	1.2293639999999997	-1.5	0.0	1.0	7.716
-5.182325	1.2293639999999997	-1.5	0.0	1.5	7.716
-5.185241	1.2293639999999997	-1.5	0.0	2.0	7.716
-5.188155999999999	1.2293639999999997	-1.0	0.0	-2.0	7.718
-5.182325	1.2293639999999997	-1.0	0.0	-1.5	7.72
-5.17941	1.232309	-1.0	0.0	-1.0	7.72
-5.17358	1.235254	-1.0	0.0	-0.5	7.719
-5.170664	1.2411450000000002	-1.0	0.0	0.0	7.72
-5.170664	1.2440900000000001	-1.0	0.0	0.5	7.723
-5.170664	1.2470350000000001	-1.0	0.0	1.0	7.725
-5.167749	1.2382000000000002	-1.0	0.0	1.5	7.724
-5.167749	1.2293639999999997	-1.0	0.0	2.0	7.723
-5.167749	1.223473	-0.5	0.0	-2.0	7.723
-5.167749	1.220528	-0.5	0.0	-1.5	7.724
-5.164834	1.220528	-0.5	0.0	-1.0	7.725
-5.159003	1.2264190000000001	-0.5	0.0	-0.5	7.725
-5.1531720000000005	1.232309	-0.5	0.0	0.0	7.725
-5.1531720000000005	1.2382000000000002	-0.5	0.0	0.5	7.724
-5.159003	1.2411450000000002	-0.5	0.0	1.0	7.723
-5.161918	1.2470350000000001	-0.5	0.0	1.5	7.722
-5.164834	1.2499810000000002	-0.5	0.0	2.0	7.721
-5.167749	1.2529259999999998	0.0	0.0	-2.0	7.72
-5.170664	1.2529259999999998	0.0	0.0	-1.5	7.72
-5.164834	1.2558710000000002	0.0	0.0	-1.0	7.724
-5.164834	1.2588159999999997	0.0	0.0	-0.5	7.728
-5.164834	1.2617620000000003	0.0	0.0	0.0	7.733
-5.167749	1.2647069999999998	0.0	0.0	0.5	7.734
-5.164834	1.2647069999999998	0.0	0.0	1.0	7.735
-5.161918	1.2647069999999998	0.0	0.0	1.5	7.737
-5.159003	1.2647069999999998	0.0	0.0	2.0	7.739
-5.161918	1.2647069999999998	0.5	0.0	-2.0	7.741
-5.164834	1.2647069999999998	0.5	0.0	-1.5	7.741
-5.159003	1.2617620000000003	0.5	0.0	-1.0	7.74
-5.150256	1.2617620000000003	0.5	0.0	-0.5	7.738
-5.144425	1.2617620000000003	0.5	0.0	0.0	7.735
-5.144425	1.2588159999999997	0.5	0.0	0.5	7.735
-5.144425	1.2588159999999997	0.5	0.0	1.0	7.735
-5.144425	1.2588159999999997	0.5	0.0	1.5	7.735
-5.147341	1.2617620000000003	0.5	0.0	2.0	7.734
-5.1531720000000005	1.2617620000000003	1.0	0.0	-2.0	7.734
-5.150256	1.2617620000000003	1.0	0.0	-1.5	7.733
-5.14151	1.2588159999999997	1.0	0.0	-1.0	7.732
-5.132763	1.2588159999999997	1.0	0.0	-0.5	7.731
-5.135679	1.2617620000000003	1.0	0.0	0.0	7.731
-5.132763	1.2676520000000002	1.0	0.0	0.5	7.731
-5.132763	1.2705969999999998	1.0	0.0	1.0	7.731
-5.126931	1.2735420000000002	1.0	0.0	1.5	7.73
-5.124016	1.2735420000000002	1.0	0.0	2.0	7.73
-5.118183999999999	1.2735420000000002	1.5	0.0	-2.0	7.731
-5.115268	1.2735420000000002	1.5	0.0	-1.5	7.732
-5.109437000000001	1.2735420000000002	1.5	0.0	-1.0	7.733
-5.100689	1.2705969999999998	1.5	0.0	-0.5	7.733
-5.094857	1.2764879999999998	1.5	0.0	0.0	7.733
-5.094857	1.2823779999999998	1.5	0.0	0.5	7.732
-5.097773	1.2882679999999997	1.5	0.0	1.0	7.732
-5.097773	1.2882679999999997	1.5	0.0	1.5	7.732
-5.097773	1.2912130000000002	1.5	0.0	2.0	7.733
-5.097773	1.2823779999999998	2.0	0.0	-2.0	7.733
-5.094857	1.2735420000000002	2.0	0.0	-1.5	7.733
-5.091941	1.2647069999999998	2.0	0.0	-1.0	7.732
-5.091941	1.2617620000000003	2.0	0.0	-0.5	7.732
-5.091941	1.2617620000000003	2.0	0.0	0.0	7.733
-5.091941	1.2617620000000003	2.0	0.0	0.5	7.733
-5.091941	1.2647069999999998	2.0	0.0	1.0	7.734
-5.091941	1.2735420000000002	2.0	0.0	1.5	7.734
-5.089025	1.2735420000000002	2.0	0.0	2.0	7.734
-7.273403999999999	-3.8534740000000003	-2.0	0.0	-2.0	8.038
-7.273403999999999	-3.8593410000000006	-2.0	0.0	-1.5	8.038
-7.276296	-3.8593410000000006	-2.0	0.0	-1.0	8.037
-7.279188	-3.856407	-2.0	0.0	-0.5	8.036
-7.284972	-3.8505410000000007	-2.0	0.0	0.0	8.039
-7.284972	-3.8446740000000004	-2.0	0.0	0.5	8.044
-7.287864	-3.8358740000000004	-2.0	0.0	1.0	8.049
-7.287864	-3.8329400000000007	-2.0	0.0	1.5	8.05
-7.290755	-3.8329400000000007	-2.0	0.0	2.0	8.05
-7.290755	-3.838807	-1.5	0.0	-2.0	8.05
-7.290755	-3.8446740000000004	-1.5	0.0	-1.5	8.05
-7.290755	-3.8534740000000003	-1.5	0.0	-1.0	8.051
-7.284972	-3.8593410000000006	-1.5	0.0	-0.5	8.053
-7.284972	-3.862274	-1.5	0.0	0.0	8.053
-7.284972	-3.8505410000000007	-1.5	0.0	0.5	8.053
-7.279188	-3.8417410000000007	-1.5	0.0	1.0	8.054
-7.270511	-3.847607	-1.5	0.0	1.5	8.054
-7.264727000000001	-3.8534740000000003	-1.5	0.0	2.0	8.054
-7.264727000000001	-3.8593410000000006	-1.0	0.0	-2.0	8.055
-7.270511	-3.856407	-1.0	0.0	-1.5	8.054
-7.276296	-3.8446740000000004	-1.0	0.0	-1.0	8.053
-7.2820800000000006	-3.838807	-1.0	0.0	-0.5	8.052
-7.284972	-3.8329400000000007	-1.0	0.0	0.0	8.051
-7.284972	-3.8358740000000004	-1.0	0.0	0.5	8.05
-7.2820800000000006	-3.838807	-1.0	0.0	1.0	8.05
-7.2820800000000006	-3.838807	-1.0	0.0	1.5	8.049
-7.284972	-3.8358740000000004	-1.0	0.0	2.0	8.05
-7.287864	-3.830007	-0.5	0.0	-2.0	8.052
-7.293647	-3.8241400000000008	-0.5	0.0	-1.5	8.054
-7.3023229999999995	-3.821206	-0.5	0.0	-1.0	8.055
-7.310998	-3.815339	-0.5	0.0	-0.5	8.054
-7.313889	-3.8065379999999998	-0.5	0.0	0.0	8.053
-7.313889	-3.8006710000000004	-0.5	0.0	0.5	8.054
-7.316781	-3.7977370000000006	-0.5	0.0	1.0	8.057
-7.316781	-3.8006710000000004	-0.5	0.0	1.5	8.059
-7.319672	-3.8006710000000004	-0.5	0.0	2.0	8.059
-7.325455000000001	-3.8006710000000004	0.0	0.0	-2.0	8.059
-7.328346000000001	-3.8006710000000004	0.0	0.0	-1.5	8.059
-7.328346000000001	-3.803605	0.0	0.0	-1.0	8.059
-7.325455000000001	-3.8094720000000004	0.0	0.0	-0.5	8.058
-7.319672	-3.812406	0.0	0.0	0.0	8.058
-7.313889	-3.815339	0.0	0.0	0.5	8.058
-7.310998	-3.812406	0.0	0.0	1.0	8.059
-7.310998	-3.812406	0.0	0.0	1.5	8.059
-7.310998	-3.8094720000000004	0.0	0.0	2.0	8.059
-7.305214	-3.8065379999999998	0.5	0.0	-2.0	8.059
-7.3023229999999995	-3.794804	0.5	0.0	-1.5	8.059
-7.3023229999999995	-3.783068	0.5	0.0	-1.0	8.059
-7.3023229999999995	-3.7772010000000007	0.5	0.0	-0.5	8.059
-7.305214	-3.7801350000000005	0.5	0.0	0.0	8.059
-7.316781	-3.783068	0.5	0.0	0.5	8.058
-7.328346000000001	-3.783068	0.5	0.0	1.0	8.058
-7.339911999999999	-3.786002	0.5	0.0	1.5	8.06
-7.339911999999999	-3.783068	0.5	0.0	2.0	8.062
-7.33702	-3.783068	1.0	0.0	-2.0	8.064
-7.328346000000001	-3.783068	1.0	0.0	-1.5	8.065
-7.322564	-3.783068	1.0	0.0	-1.0	8.064
-7.319672	-3.783068	1.0	0.0	-0.5	8.064
-7.319672	-3.7801350000000005	1.0	0.0	0.0	8.063
-7.316781	-3.7772010000000007	1.0	0.0	0.5	8.063
-7.316781	-3.774267	1.0	0.0	1.0	8.063
-7.316781	-3.7713330000000003	1.0	0.0	1.5	8.063
-7.319672	-3.7713330000000003	1.0	0.0	2.0	8.063
-7.322564	-3.7683989999999996	1.5	0.0	-2.0	8.065
-7.322564	-3.7683989999999996	1.5	0.0	-1.5	8.066
-7.325455000000001	-3.7654650000000007	1.5	0.0	-1.0	8.067
