	posx	posy	smh	smd	smv	pupil_size	sr_0	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8	sr_9	sr_10	sr_11	sr_12	sr_13	sr_14
0	-14.776782	-4.765123	-2.0	0.0	-2.0	2.135	0.15231230285625214	0.24470639028645094	0.27510391505938836	0.21730937274902842	0.1634649624607103	0.21654324247982765	0.2968389271853543	0.3159345456143452	0.2329275232238008	0.18050022371524044	0.25490460190719505	0.3135727416066422	0.3340153174278342	0.28298164046946844	0.22352617765026403
1	-14.765789000000002	-4.762208	-2.0	0.0	-1.5	2.136	0.15020053702992633	0.2457053939764137	0.28154286682710683	0.22460266901360768	0.16220145805295005	0.21130883406560597	0.2954195991586228	0.31433362518663904	0.22977376248055256	0.17848891630769384	0.25079217822848027	0.31024951433797193	0.33225609254493405	0.27585108078751597	0.21828194066755
2	-14.771285999999998	-4.768038	-2.0	0.0	-1.0	2.136	0.14822420223345184	0.24471573801694574	0.28657834492064244	0.2317173106591139	0.16060591200742752	0.20639810407787157	0.294394798605235	0.31349000433018204	0.2286041516461615	0.17718329253947945	0.24680212826768386	0.30646544252161145	0.32997927189555537	0.2680056488913385	0.21352350619708824
3	-14.817994	-4.747634	-2.0	0.0	-0.5	2.131	0.14723197416207814	0.24152995961043752	0.28887655098719545	0.23807826190624384	0.15953970952491645	0.20124066327872145	0.29309515863603725	0.31284318655778504	0.2289116852980669	0.17659555254853873	0.2423684695037083	0.30209821876566234	0.32698407362019044	0.25933079990176067	0.208870580525192
4	-14.828981	-4.759293	-2.0	0.0	0.0	2.13	0.14652514938126973	0.23706850404237362	0.2900657310061658	0.2433179195208141	0.15761112356503806	0.19541684123056552	0.2920871319117218	0.31276792146466814	0.23025303536358116	0.17585116729302805	0.23738370288932692	0.2973387198679824	0.32206906746138697	0.2490096403461421	0.20388346424609627
5	-14.828981	-4.765123	-2.0	0.0	0.5	2.13	0.14721953911623198	0.23211729486588212	0.29011273675211596	0.24788949805321855	0.15538651444564103	0.18989987542303977	0.2909524271450884	0.3130580779467452	0.23334718673771018	0.17596375092535474	0.23190185941777627	0.2921290002007352	0.31476510531671836	0.23859361040691138	0.1994017366911659
6	-14.815247	-4.759293	-2.0	0.0	1.0	2.13	0.14815128963719426	0.22706992279582355	0.2898684182873196	0.2522122354671288	0.1530316520522158	0.1830730253491045	0.28932416296686964	0.3136600032983494	0.2366747442663419	0.1751851884205858	0.2256941727781938	0.2858095562155624	0.3058759227721791	0.22838046784026084	0.19424808028353766
7	-14.809753	-4.750549	-2.0	0.0	1.5	2.13	0.14999413361398786	0.22189158901837464	0.28866026411194373	0.2564456382451459	0.15134819281566064	0.17719699178874615	0.2879906990667959	0.3147051177667431	0.2411281927036124	0.17577252428437143	0.21987450960338903	0.2780755652993436	0.29689170220000827	0.21878743659327582	0.18992774075049895
8	-14.809753	-4.738887999999998	-2.0	0.0	2.0	2.129	0.1521670030892336	0.2171514728218946	0.2870853258416853	0.2605284715512524	0.14927419685850313	0.1714616425373681	0.28698003992130516	0.3160138653124908	0.24596850087788996	0.1753002671125801	0.21314994219153782	0.26978269434570307	0.2892609274233248	0.21000480457355625	0.18530039389903843
9	-14.8125	-4.735973	-1.5	0.0	-2.0	2.133	0.15141629634252607	0.24191718117219344	0.27208432391769827	0.2182455821056212	0.16364014300995755	0.2145560443112777	0.293047197880212	0.31261678299825785	0.2334617164069454	0.18418852975622504	0.2531500759604408	0.3131262981220458	0.3338513996728598	0.281899276168755	0.22771352763892241
