	posx	posy	smh	smr	smv	pupil_size	sr_0	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8	sr_9	sr_10	sr_11	sr_12	sr_13	sr_14
0	-7.1895	9.61	-1.75	0	0	3.06	0.149435389071	0.215519362267	0.23480754208	0.201379519776	0.154002834247	0.199181718797	0.289219493787	0.298968663108	0.251495001558	0.186365273578	0.235719881495	0.30266760196	0.330453208485	0.269553045431	0.209282213751
1	-7.1374	9.6186	-1.75	0	0	3.06	0.149673270212	0.215625782761	0.234563576344	0.201252809579	0.154420877102	0.199555234802	0.289396037126	0.298688397961	0.251495352866	0.186576456686	0.23576556976	0.302686933893	0.330502417908	0.269597898696	0.209469862151
2	-7.0911	9.6301	-1.75	0	0	3.0588	0.149827211167	0.215795337997	0.23458695022	0.201261651673	0.154249453145	0.199505319859	0.289590707092	0.298720474327	0.251699545023	0.18655056669	0.235956994981	0.302847198873	0.330437866929	0.269506057354	0.209504454993
3	-7.0767	9.6386	-1.75	0	0	3.0588	0.14928613053	0.215539455081	0.234642220169	0.201583358665	0.154222306899	0.1990968152	0.28934507765	0.298939596031	0.252036750648	0.186331428914	0.235182115717	0.30257355886	0.33060493932	0.269870477203	0.20933347973
4	-7.0419	9.6386	-1.75	0	0	3.0577	0.149290375033	0.215183268392	0.234195120233	0.201274503446	0.154156048755	0.199261193799	0.289358280883	0.298636010684	0.251689324262	0.186128610188	0.235601841706	0.302569799328	0.330457278792	0.269415219066	0.208879540758
5	-7.0101	9.6472	-1.75	0	0	3.0588	0.149368263204	0.215369644746	0.234233902278	0.201354589012	0.154080463746	0.199300720999	0.289454924823	0.298740814963	0.252350650559	0.186804188216	0.235539244541	0.302739175448	0.330553264652	0.269981161114	0.209611079021
6	-6.9927	9.6616	-1.75	0	0	3.0588	0.149414815081	0.215291392989	0.234124005601	0.2013460102	0.15394932147	0.199015763487	0.289173692723	0.298532586864	0.251907730611	0.18607900379	0.235409801106	0.302417131974	0.330451418656	0.269495510744	0.208784604114
7	-7.0072	9.673	-1.75	0	0	3.06	0.149124782737	0.215354451248	0.234230983945	0.201200962912	0.153546523792	0.198834542239	0.289297825465	0.298654877319	0.252034709829	0.185956353545	0.235379343951	0.302713660532	0.330658768306	0.269852223059	0.209369150323
8	-7.0217	9.6759	-1.75	0	0	3.0611	0.149231063365	0.215552069233	0.234592425402	0.201761841306	0.154209836325	0.199165040314	0.28939772939	0.298847358616	0.252189253501	0.186399216579	0.235390905899	0.302617276746	0.330530631538	0.2694497048	0.208881240243
9	-7.0622	9.6673	-1.75	0	0	3.0611	0.149209395817	0.215298306452	0.234593888628	0.201460333188	0.154348938434	0.199166465462	0.289264949345	0.29885243197	0.252057465106	0.186546745676	0.235533999791	0.302573514527	0.330472260738	0.26951858358	0.208991148885
