	posx	posy	smh	smr	smv	pupil_size	sr_0	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8	sr_9	sr_10	sr_11	sr_12	sr_13	sr_14
0	-7.1895	9.61	0	0	0	3.06	0.143287168463	0.208702934946	0.231087052047	0.216111886617	0.157264993801	0.190621225551	0.280128568031	0.284594030795	0.263684321697	0.188952351008	0.230967075735	0.299094225768	0.329119468119	0.264249472801	0.220734314959
1	-7.1374	9.6186	0	0	0	3.06	0.14288226745	0.208822759034	0.231441665853	0.216493995467	0.157261056208	0.190187607939	0.280099488847	0.284877377459	0.26420853927	0.189099689987	0.230473405601	0.299013328928	0.329147374708	0.264164474926	0.220253014622
2	-7.0911	9.6301	0	0	0	3.0588	0.143119134749	0.208858381925	0.231263742276	0.216210725937	0.156883363617	0.190401309352	0.280195020412	0.284732103669	0.263904254402	0.188332796422	0.230544622252	0.299091477943	0.32926476048	0.264144537457	0.220159662678
3	-7.0767	9.6386	0	0	0	3.0588	0.143006877823	0.208518381788	0.230835607987	0.215987502412	0.156860686175	0.191130363594	0.280285031153	0.284798957055	0.26441225743	0.189422532561	0.231126894667	0.29912957831	0.32921423986	0.264466927298	0.22083767635
4	-7.0419	9.6386	0	0	0	3.0577	0.14284005742	0.208480342431	0.23107185071	0.216256312724	0.156882959306	0.190402266015	0.280086546796	0.284684577661	0.264295331803	0.189009697928	0.230594229097	0.299148618454	0.329262347346	0.264177083874	0.220329374647
5	-7.0101	9.6472	0	0	0	3.0588	0.143252791555	0.208751875539	0.231159069024	0.216710835852	0.157639827991	0.190978761465	0.28017950712	0.284641319576	0.26449961861	0.189352895269	0.230821746157	0.299039486053	0.329066350309	0.264144664286	0.22046913858
6	-6.9927	9.6616	0	0	0	3.0588	0.143051484988	0.208477733584	0.230653801483	0.216057308376	0.15686628456	0.190612531172	0.280026887221	0.284459731704	0.264183429505	0.188744096227	0.231274493789	0.299105572788	0.329130477944	0.264472471741	0.220849903974
7	-7.0072	9.673	0	0	0	3.06	0.142903492836	0.208710110869	0.231346145611	0.216713623493	0.157244499601	0.190475607256	0.280219813034	0.284917711829	0.264553035121	0.189086504397	0.230560866256	0.299084953242	0.329111507597	0.264118543226	0.220159753838
8	-7.0217	9.6759	0	0	0	3.0611	0.143285052594	0.208615324591	0.230764248848	0.216165369255	0.157133028538	0.190452345203	0.280057812682	0.284650511768	0.264189936158	0.188628302724	0.230640723102	0.298981646466	0.329214110917	0.264163460088	0.220236269531
9	-7.0622	9.6673	0	0	0	3.0611	0.143461290043	0.208940374982	0.230936862154	0.216179664228	0.15739292224	0.190860076024	0.280214098357	0.284654693066	0.264006605951	0.188951436392	0.230879098085	0.299073108575	0.329096695177	0.264060834166	0.220608127037
10	-7.0911	9.6616	0	0	0	3.0622	0.143310664879	0.208708658122	0.230631301731	0.215913110159	0.156905640328	0.190748016983	0.280187171437	0.284629152993	0.264026618601	0.188683265179	0.2311879457	0.299344798406	0.329228136751	0.264349947969	0.220668913159
11	-7.0998	9.6472	0	0	0	3.0611	0.143183042927	0.208578844363	0.231136943605	0.216522726296	0.157460621805	0.190789807203	0.280143070537	0.28465831358	0.26397002586	0.18873978238	0.230650888051	0.298950516907	0.329130491646	0.26399697345	0.220126713184
