	posx	posy	smh	smr	smv	pupil_size	sr_0	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8	sr_9	sr_10	sr_11	sr_12	sr_13	sr_14
0	-7.1895	9.61	1.75	0	-1.75	3.06	0.136277526303	0.200479128237	0.212888986939	0.218591365553	0.167456695723	0.1940971316	0.288071157568	0.305081180532	0.278448587662	0.199642019836	0.241021231423	0.313443274391	0.335021291259	0.277698775697	0.245049669111
1	-7.1374	9.6186	1.75	0	-1.75	3.06	0.136164161411	0.200393424118	0.21259651353	0.218232321815	0.167083741549	0.19437399158	0.2880844783	0.305201728989	0.278547462317	0.199805553896	0.241510495462	0.313710344586	0.335080580161	0.277812092032	0.245576377378
2	-7.0911	9.6301	1.75	0	-1.75	3.0588	0.135998100275	0.200210647747	0.212478833104	0.218125797368	0.167206465462	0.194038416498	0.288123464355	0.305229669475	0.278514585272	0.19984850896	0.241344429964	0.313674206811	0.335026639903	0.277638182652	0.245205542516
3	-7.0767	9.6386	1.75	0	-1.75	3.0588	0.136169761893	0.200357320353	0.212838604629	0.218596453871	0.16745044451	0.194093365291	0.287940038727	0.305183099857	0.278617062212	0.199885246099	0.241335660436	0.313557415454	0.335034020788	0.27779239854	0.24546787873
4	-7.0419	9.6386	1.75	0	-1.75	3.0577	0.136245560313	0.200132673012	0.212593451557	0.218489281843	0.167317483854	0.1939285968	0.287893584087	0.305241258807	0.278588026985	0.19981063961	0.241372286085	0.313565414176	0.335076640529	0.277859633985	0.245520361451
5	-7.0101	9.6472	1.75	0	-1.75	3.0588	0.136099425359	0.199916717817	0.212673355648	0.218564576981	0.167205533015	0.193954856663	0.287887898061	0.305299934182	0.278536046995	0.199665149667	0.241228681666	0.313662209286	0.335029721633	0.277769590146	0.24527353545
6	-6.9927	9.6616	1.75	0	-1.75	3.0588	0.13614111765	0.199906766191	0.212569589636	0.218725867319	0.167593145666	0.19418533535	0.287976814826	0.305360196977	0.278674421771	0.199784464635	0.241021268173	0.313445796841	0.335018602216	0.27766762305	0.245146615653
7	-7.0072	9.673	1.75	0	-1.75	3.06	0.136211800066	0.200202036132	0.213075937328	0.219054632614	0.167678536291	0.193932843854	0.287874240385	0.305498710923	0.278945587373	0.200281026996	0.241240234521	0.313603432389	0.335113129452	0.278141135488	0.245912781567
8	-7.0217	9.6759	1.75	0	-1.75	3.0611	0.135963462959	0.200001772664	0.21278801585	0.218697645733	0.167252608562	0.194149761904	0.287957788926	0.30538981671	0.278759493359	0.19997800932	0.241432318877	0.313595057401	0.335094850846	0.278266447196	0.245956145466
9	-7.0622	9.6673	1.75	0	-1.75	3.0611	0.136103488328	0.200260488393	0.212961960635	0.218812424914	0.167555947007	0.194061254878	0.288086836519	0.305480106954	0.278887064205	0.200271359879	0.241711027349	0.313576967269	0.335065426985	0.277986146233	0.245608058969
