	posx	posy	smh	smr	smv	pupil_size	sr_0	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8	sr_9	sr_10	sr_11	sr_12	sr_13	sr_14
0	-7.1895	9.61	0	0	1.75	3.06	0.149610041024	0.205765366911	0.259474844915	0.23866422045	0.15192700295	0.171781102879	0.26751373002	0.266877469553	0.256027468196	0.182769517364	0.215019224287	0.271641002475	0.2989648453	0.248336461052	0.208110461985
1	-7.1374	9.6186	0	0	1.75	3.06	0.149351434767	0.205360814459	0.259203528098	0.23859099509	0.151725401357	0.171562260822	0.267259927794	0.266583434877	0.255895529447	0.18217801716	0.215177191094	0.271858081329	0.29913534261	0.24863901203	0.208327999414
2	-7.0911	9.6301	0	0	1.75	3.0588	0.149084220417	0.205274590478	0.259582876233	0.23905294498	0.151962913263	0.171434011913	0.267185465867	0.266764128653	0.256301245708	0.182354655409	0.214257773543	0.271369672018	0.299016732962	0.248468749656	0.207692772517
3	-7.0767	9.6386	0	0	1.75	3.0588	0.149131635687	0.205325451042	0.259547040305	0.239211239711	0.152355298267	0.171778645703	0.267320708993	0.266857619266	0.25658573472	0.18274441749	0.21467846123	0.271469171544	0.299114807573	0.248574190547	0.208041558897
4	-7.0419	9.6386	0	0	1.75	3.0577	0.149218970147	0.205091546727	0.259247340191	0.238837890943	0.15198065658	0.171666158873	0.267177460186	0.266635165586	0.25631079116	0.182450966972	0.214972635938	0.271660907274	0.299029171501	0.248472274292	0.208098294344
5	-7.0101	9.6472	0	0	1.75	3.0588	0.149381123315	0.205245690014	0.25946644849	0.238993864956	0.152194941945	0.171630202079	0.267190099691	0.266771209863	0.256693154688	0.182753971556	0.214588139268	0.271309996909	0.298994725999	0.248692995678	0.208253057526
6	-6.9927	9.6616	0	0	1.75	3.0588	0.148950690472	0.204848405382	0.25906418578	0.238594634786	0.151457100189	0.171932849074	0.267222848681	0.26661023446	0.256782321087	0.182882000126	0.215043462048	0.271732416584	0.299175879452	0.248861727332	0.208513580777
7	-7.0072	9.673	0	0	1.75	3.06	0.149298695647	0.205336154919	0.259351676832	0.239069506041	0.152181287261	0.171640084953	0.267264581221	0.266608150136	0.256606106722	0.182725276479	0.215005628392	0.271765324442	0.299144976967	0.248645596463	0.208284264013
8	-7.0217	9.6759	0	0	1.75	3.0611	0.14925692664	0.20531465234	0.259014375467	0.238634272786	0.15177516723	0.171818646163	0.267273266216	0.266459622579	0.256301946201	0.182328663404	0.215066284985	0.271876196819	0.299217347296	0.24869987799	0.20839070752
9	-7.0622	9.6673	0	0	1.75	3.0611	0.14883782143	0.205195330009	0.259346351857	0.238913685651	0.151673183603	0.171249814215	0.267021217251	0.266658277263	0.256448993662	0.182317480974	0.214560139776	0.271515731822	0.299077990239	0.248610352353	0.208093241132
